Variable Name,Short Name,Question,Responses,Subscale,First Order Subscale
attention_network_task.EZ_thresh_incongruent,ANTINCZT,,,,
attention_network_task.EZ_thresh_neutral,ANTNTRZT,,,,
attention_network_task.hddm_non_decision,ANTZHN,,,,
attention_network_task.hddm_thresh,ANTZHT,,,,
attention_network_task.hddm_drift,ANTZHD,,,,
attention_network_task.hddm_drift_congruent,ANTCGHD,,,,
attention_network_task.hddm_drift_incongruent,ANTINCHD,,,,
attention_network_task.hddm_drift_neutral,ANTNTRHD,,,,
attention_network_task.hddm_thresh_congruent,ANTCGHT,,,,
attention_network_task.hddm_thresh_incongruent,ANTINCHT,,,,
attention_network_task.hddm_thresh_neutral,ANTNTRHT,,,,
attention_network_task.missed_percent,ANTMSPRC,,,,
attention_network_task.orienting_acc,ANTORTAC,,,,
attention_network_task.orienting_rt,ANTORTRT,,,,
attention_network_task.post_error_slowing,ANTPES,,,,
attention_network_task.std_rt,ANTDRT,,,,
attention_network_task.std_rt_error,ANTDRTE,,,,
bickel_titrator.hyp_discount_rate_large,BITIHDL,,,,
bickel_titrator.hyp_discount_rate_medium,BITIHDM,,,,
bickel_titrator.hyp_discount_rate_small,BITIHDS,,,,
bickel_titrator.hyp_discount_rate_large.logTr,BITIHDLL,,,,
bickel_titrator.hyp_discount_rate_medium.logTr,BITIHDML,,,,
bickel_titrator.hyp_discount_rate_small.logTr,BITIHDSL,,,,
bis_bas_survey.BAS_drive,BBASDRIV,,,,
bis_bas_survey.BAS_fun_seeking,BBASFUNS,,,,
bis_bas_survey.BAS_reward_responsiveness,BBASRWRD,,,,
bis_bas_survey.BIS,BBASBIS,,,,
bis11_survey.Attentional,BISATTII,,,,
bis11_survey.first_order_attention,BISATTNI,,,,
bis11_survey.first_order_cognitive_complexity,BISCGCXI,,,,
bis11_survey.first_order_cognitive_stability,BISCGSTI,,,,
bis11_survey.first_order_motor,BISMOTOI,,,,
bis11_survey.first_order_perseverance,BISPERSI,,,,
bis11_survey.first_order_self_control,BISSCON,,,,
bis11_survey.Motor,BISMOTII,,,,
bis11_survey.Nonplanning,BISNPLII,,,,
brief_self_control_survey.self_control,BSCSSCON,,,,
choice_reaction_time.acc,CRTAC,,,,
choice_reaction_time.avg_rt,CRTAVRT,,,,
choice_reaction_time.avg_rt_error,CRTAVRTE,,,,
choice_reaction_time.EZ_drift,CRTZD,,,,
choice_reaction_time.EZ_non_decision,CRTZN,,,,
choice_reaction_time.EZ_thresh,CRTZT,,,,
choice_reaction_time.hddm_drift,CRTHD,,,,
choice_reaction_time.hddm_non_decision,CRTHN,,,,
choice_reaction_time.hddm_thresh,CRTHT,,,,
choice_reaction_time.missed_percent,CRTMSPRC,,,,
choice_reaction_time.post_error_slowing,CRTPES,,,,
choice_reaction_time.std_rt,CRTDRT,,,,
choice_reaction_time.std_rt_error,CRTDRTE,,,,
cognitive_reflection_survey.correct_proportion,CGRSCRP,,,,
cognitive_reflection_survey.intuitive_proportion,CGRSINTP,,,,
columbia_card_task_cold.avg_cards_chosen,CCTCAVCC,,,,
columbia_card_task_cold.gain_sensitivity,CCTCGAIN,,,,
columbia_card_task_cold.information_use,CCTCINFO,,,,
columbia_card_task_cold.loss_sensitivity,CCTCLOSS,,,,
columbia_card_task_cold.probability_sensitivity,CCTCPROB,,,,
columbia_card_task_hot.avg_cards_chosen,CCTHAVCC,,,,
columbia_card_task_hot.gain_sensitivity,CCTHGAIN,,,,
columbia_card_task_hot.information_use,CCTHINFO,,,,
columbia_card_task_hot.loss_sensitivity,CCTHLOSS,,,,
columbia_card_task_hot.probability_sensitivity,CCTHPROB,,,,
demographics_survey.age,DEMAGE,,,,
demographics_survey.arrest_count,DEMARST,,,,
demographics_survey.BMI,DEMBMI,,,,
demographics_survey.caffeine_intake,DEMCAFF,,,,
demographics_survey.car_debt,DEMCARDT,,,,
demographics_survey.children_count,DEMKIDS,,,,
demographics_survey.credit_card_debt,DEMCCDT,,,,
demographics_survey.divoce_count,DEMDIVR,,,,
demographics_survey.education,DEMEDUC,,,,
demographics_survey.education_debt,DEMEDUDT,,,,
demographics_survey.gambling_problem?,DEMGAMB,,,,
demographics_survey.height(inches),DEMHEIG,,,,
demographics_survey.hispanic?,DEMHISP,,,,
demographics_survey.home_status,DEMHOME,,,,
demographics_survey.household_income(dollars),DEMINCOM,,,,
demographics_survey.longest_relationship(months),DEMRELLG,,,,
demographics_survey.mortage_debt,DEMMORDT,,,,
demographics_survey.mturk_motivation,DEMMTMV,,,,
demographics_survey.other_motivation,DEMOTMV,,,,
demographics_survey.other_sources_of_debt,DEMOTDT,,,,
demographics_survey.percent_retirement_in_stock,DEMPRIS,,,,
demographics_survey.race,DEMRACE,,,,
demographics_survey.relationship_count,DEMRELCT,,,,
demographics_survey.relationship_status,DEMRELST,,,,
demographics_survey.retirement_account?,DEMRETAC,,,,
demographics_survey.sex,DEMSEX,,,,
demographics_survey.traffic_accident_count,DEMTRACC,,,,
demographics_survey.traffic_ticket_count,DEMTRTX,,,,
demographics_survey.weight(pounds),DEMWEIG,,,,
dickman_survey.dysfunctional,DIIDYSF,,,,
dickman_survey.functional,DIIFUNC,,,,
dietary_decision.health_sensitivity,DDTHEALT,,,,
dietary_decision.taste_sensitivity,DDTTASTE,,,,
digit_span.forward_span,DGSFORWD,,,,
digit_span.reverse_span,DGSREVRS,,,,
directed_forgetting.acc,DRFAC,,,,
directed_forgetting.avg_rt,DRFAVRT,,,,
directed_forgetting.avg_rt_error,DRFAVRTE,,,,
directed_forgetting.EZ_drift,DRFZD,,,,
directed_forgetting.EZ_thresh,DRFZT,,,,
directed_forgetting.EZ_non_decision,DRFZN,,,,
directed_forgetting.EZ_drift_con,DRFCTLZD,,,,
directed_forgetting.EZ_drift_neg,DRFNGZD,,,,
directed_forgetting.EZ_drift_pos,DRFPSZD,,,,
directed_forgetting.EZ_non_decision_con,DRFCTLZN,,,,
directed_forgetting.EZ_non_decision_neg,DRFNGZN,,,,
directed_forgetting.EZ_non_decision_pos,DRFPSZN,,,,
directed_forgetting.EZ_thresh_con,DRFCTLZT,,,,
directed_forgetting.EZ_thresh_neg,DRFNGZT,,,,
directed_forgetting.EZ_thresh_pos,DRFPSZT,,,,
directed_forgetting.hddm_non_decision,DRFHN,,,,
directed_forgetting.hddm_thresh,DRFHT,,,,
directed_forgetting.hddm_drift,DRFHD,,,,
directed_forgetting.hddm_drift_con,DRFCTLHD,,,,
directed_forgetting.hddm_drift_neg,DRFNGHD,,,,
directed_forgetting.hddm_drift_pos,DRFPSHD,,,,
directed_forgetting.hddm_thresh_con,DRFCTLHT,,,,
directed_forgetting.hddm_thresh_neg,DRFNGHT,,,,
directed_forgetting.hddm_thresh_pos,DRFPSHT,,,,
directed_forgetting.missed_percent,DRFMSPRC,,,,
directed_forgetting.post_error_slowing,DRFPES,,,,
directed_forgetting.proactive_interference_acc,DRFPINAC,,,,
directed_forgetting.proactive_interference_EZ_drift,DRFPINZD,,,,
directed_forgetting.proactive_interference_EZ_non_decision,DRFPINZN,,,,
directed_forgetting.proactive_interference_EZ_thresh,DRFPINZT,,,,
directed_forgetting.proactive_interference_hddm_drift,DRFPINHD,,,,
directed_forgetting.proactive_interference_hddm_thresh,DRFPINHT,,,,
directed_forgetting.proactive_interference_rt,DRFPINRT,,,,
directed_forgetting.std_rt,DRFDRT,,,,
directed_forgetting.std_rt_error,DRFDRTE,,,,
discount_titrate.hyp_discount_rate_glm,DSTGLM,,,,
discount_titrate.hyp_discount_rate_glm_notnow,DSTGLMNN,,,,
discount_titrate.hyp_discount_rate_glm_now,DSTGLMN,,,,
discount_titrate.hyp_discount_rate_nm,DSTNM,,,,
discount_titrate.hyp_discount_rate_nm_notnow,DSTNMNN,,,,
discount_titrate.hyp_discount_rate_nm_now,DSTNMN,,,,
discount_titrate.percent_patient,DSTPCTP,,,,
dospert_eb_survey.ethical,DPTEEB,,,,
dospert_eb_survey.financial,DPTFEB,,,,
dospert_eb_survey.health_safety,DPTHEB,,,,
dospert_eb_survey.recreational,DPTREB,,,,
dospert_eb_survey.social,DPTSEB,,,,
dospert_rp_survey.ethical,DPTERP,,,,
dospert_rp_survey.financial,DPTFRP,,,,
dospert_rp_survey.health_safety,DPTHRP,,,,
dospert_rp_survey.recreational,DPTRRP,,,,
dospert_rp_survey.social,DPTSRP,,,,
dospert_rt_survey.ethical,DPTERT,,,,
dospert_rt_survey.financial,DPTFRT,,,,
dospert_rt_survey.health_safety,DPTHRT,,,,
dospert_rt_survey.recreational,DPTRRT,,,,
dospert_rt_survey.social,DPTSRT,,,,
dot_pattern_expectancy.acc,DPEAC,,,,
dot_pattern_expectancy.avg_rt,DPEAVRT,,,,
dot_pattern_expectancy.avg_rt_error,DPEAVRTE,,,,
dot_pattern_expectancy.AY-BY_acc,DPEAYBAC,,,,
dot_pattern_expectancy.AY-BY_EZ_drift,DPEAYBZD,,,,
dot_pattern_expectancy.AY-BY_EZ_non_decision,DPEAYBZN,,,,
dot_pattern_expectancy.AY-BY_EZ_thresh,DPEAYBZT,,,,
dot_pattern_expectancy.AY-BY_hddm_drift,DPEAYBHD,,,,
dot_pattern_expectancy.AY-BY_hddm_thresh,DPEAYBHT,,,,
dot_pattern_expectancy.AY-BY_rt,DPEAYBRT,,,,
dot_pattern_expectancy.BX-BY_acc,DPEBXBAC,,,,
dot_pattern_expectancy.BX-BY_EZ_drift,DPEBXBZD,,,,
dot_pattern_expectancy.BX-BY_EZ_non_decision,DPEBXBZN,,,,
dot_pattern_expectancy.BX-BY_EZ_thresh,DPEBXBZT,,,,
dot_pattern_expectancy.BX-BY_hddm_drift,DPEBXBHD,,,,
dot_pattern_expectancy.BX-BY_hddm_thresh,DPEBXBHT,,,,
dot_pattern_expectancy.BX-BY_rt,DPEBXBRT,,,,
dot_pattern_expectancy.dprime,DPEDPRIM,,,,
dot_pattern_expectancy.EZ_drift,DPEZD,,,,
dot_pattern_expectancy.EZ_thresh,DPEZT,,,,
dot_pattern_expectancy.EZ_non_decision,DPEZN,,,,
dot_pattern_expectancy.hddm_non_decision,DPEHN,,,,
dot_pattern_expectancy.hddm_thresh,DPEHT,,,,
dot_pattern_expectancy.hddm_drift,DPEHD,,,,
dot_pattern_expectancy.EZ_drift_AX,DPEAXZD,,,,
dot_pattern_expectancy.EZ_drift_AY,DPEAYZD,,,,
dot_pattern_expectancy.EZ_drift_BX,DPEBXZD,,,,
dot_pattern_expectancy.EZ_drift_BY,DPEBYZD,,,,
dot_pattern_expectancy.EZ_non_decision_AX,DPEAXZN,,,,
dot_pattern_expectancy.EZ_non_decision_AY,DPEAYZN,,,,
dot_pattern_expectancy.EZ_non_decision_BX,DPEBXZN,,,,
dot_pattern_expectancy.EZ_non_decision_BY,DPEBYZN,,,,
dot_pattern_expectancy.EZ_thresh_AX,DPEAXZT,,,,
dot_pattern_expectancy.EZ_thresh_AY,DPEAYZT,,,,
dot_pattern_expectancy.EZ_thresh_BX,DPEBXZT,,,,
dot_pattern_expectancy.EZ_thresh_BY,DPEBYZT,,,,
dot_pattern_expectancy.hddm_drift_AX,DPEAXHD,,,,
dot_pattern_expectancy.hddm_drift_AY,DPEAYHD,,,,
dot_pattern_expectancy.hddm_drift_BX,DPEBXHD,,,,
dot_pattern_expectancy.hddm_drift_BY,DPEBYHD,,,,
dot_pattern_expectancy.hddm_thresh_AX,DPEAXHT,,,,
dot_pattern_expectancy.hddm_thresh_AY,DPEAYHT,,,,
dot_pattern_expectancy.hddm_thresh_BX,DPEBXHT,,,,
dot_pattern_expectancy.hddm_thresh_BY,DPEBYHT,,,,
dot_pattern_expectancy.missed_percent,DPEMSPRC,,,,
dot_pattern_expectancy.post_error_slowing,DPEPES,,,,
dot_pattern_expectancy.std_rt,DPEDRT,,,,
dot_pattern_expectancy.std_rt_error,DPEDRTE,,,,
eating_survey.cognitive_restraint,TFEQCGRS,,,,
eating_survey.emotional_eating,TFEQEEAT,,,,
eating_survey.uncontrolled_eating,TFEQUEAT,,,,
erq_survey.reappraisal,ERQREAP,,,,
erq_survey.suppression,ERQSUPP,,,,
five_facet_mindfulness_survey.act_with_awareness,FFMQAWAR,,,,
five_facet_mindfulness_survey.describe,FFMQDESC,,,,
five_facet_mindfulness_survey.nonjudge,FFMQNJUD,,,,
five_facet_mindfulness_survey.nonreact,FFMQNREA,,,,
five_facet_mindfulness_survey.observe,FFMQOBSV,,,,
future_time_perspective_survey.future_time_perspective,FTPSFTP,,,,
go_nogo.acc,GNGAC,,,,
go_nogo.dprime,GNGDRPIM,,,,
go_nogo.go_acc,GNGGAC,,,,
go_nogo.go_rt,GNGGRT,,,,
go_nogo.nogo_acc,GNGNOGAC,,,,
grit_scale_survey.grit,GRTSGRIT,,,,
hierarchical_rule.acc,HIRAC,,,,
hierarchical_rule.avg_rt,HIRAVRT,,,,
hierarchical_rule.avg_rt_error,HIRAVRTE,,,,
hierarchical_rule.missed_percent,HIRMSPRC,,,,
hierarchical_rule.post_error_slowing,HIRPES,,,,
hierarchical_rule.score,HIRSCOR,,,,
hierarchical_rule.std_rt,HIRDRT,,,,
hierarchical_rule.std_rt_error,HIRDRTE,,,,
holt_laury_survey.number_of_switches,HLTNOS,,,,
holt_laury_survey.risky_choices,HLTRSKCH,,,,
holt_laury_survey.safe_choices,HLTSFCH,,,,
impulsive_venture_survey.impulsiveness,IMVIMPLS,,,,
impulsive_venture_survey.venturesomeness,IMVVNTUR,,,,
information_sampling_task.Decreasing_Win_acc,ISTDECAC,,,,
information_sampling_task.Decreasing_Win_boxes_opened,ISTDECOP,,,,
information_sampling_task.Decreasing_Win_motivation,ISTDECMV,,,,
information_sampling_task.Decreasing_Win_P_correct,ISTDECPC,,,,
information_sampling_task.Decreasing_Win_total_points,ISTDECTP,,,,
information_sampling_task.Fixed_Win_acc,ISTFXDAC,,,,
information_sampling_task.Fixed_Win_boxes_opened,ISTFXDOP,,,,
information_sampling_task.Fixed_Win_motivation,ISTFXDMV,,,,
information_sampling_task.Fixed_Win_P_correct,ISTFXDPC,,,,
information_sampling_task.Fixed_Win_total_points,ISTFXDTP,,,,
keep_track.score,KTTSCOR,,,,
kirby.hyp_discount_rate,KRBHDR,,,,
kirby.hyp_discount_rate_large,KRBHDRL,,,,
kirby.hyp_discount_rate_medium,KRBHDRM,,,,
kirby.hyp_discount_rate_small,KRBHDRS,,,,
kirby.hyp_discount_rate_large.logTr,KRBHDRLL,,,,
kirby.hyp_discount_rate_medium.logTr,KRBHDRML,,,,
kirby.hyp_discount_rate_small.logTr,KRBHDRSL,,,,
kirby.percent_patient,KRBPCTP,,,,
kirby.percent_patient_large,KRBPCTPL,,,,
kirby.percent_patient_medium,KRBPCTPM,,,,
kirby.percent_patient_small,KRBPCTPS,,,,
kirby.warnings,KRBWARN,,,,
leisure_time_activity_survey.activity_level,LCATACTL,,,,
local_global_letter.acc,LOGAC,,,,
local_global_letter.avg_rt,LOGAVRT,,,,
local_global_letter.avg_rt_error,LOGAVRTE,,,,
local_global_letter.conflict_acc,LOGCONAC,,,,
local_global_letter.conflict_EZ_drift,LOGCONZD,,,,
local_global_letter.conflict_EZ_non_decision,LOGCONZN,,,,
local_global_letter.conflict_EZ_thresh,LOGCONZT,,,,
local_global_letter.conflict_hddm_drift,LOGCONHD,,,,
local_global_letter.conflict_hddm_thresh,LOGCONHT,,,,
local_global_letter.conflict_rt,LOGCONRT,,,,
local_global_letter.congruency_seq_acc,LOGCGSAC,,,,
local_global_letter.congruency_seq_rt,LOGCGSRT,,,,
local_global_letter.congruent_facilitation_acc,LOGCFCAC,,,,
local_global_letter.congruent_facilitation_rt,LOGCFCRT,,,,
local_global_letter.EZ_drift,LOGZTD,,,,
local_global_letter.EZ_thresh,LOGZT,,,,
local_global_letter.EZ_non_decision,LOGZN,,,,
local_global_letter.EZ_drift_congruent,LOGZDCG,,,,
local_global_letter.EZ_drift_incongruent,LOGZDINC,,,,
local_global_letter.EZ_drift_neutral,LOGZDNEU,,,,
local_global_letter.EZ_drift_stay,LOGZDSTY,,,,
local_global_letter.EZ_drift_switch,LOGZDSWT,,,,
local_global_letter.EZ_non_decision_congruent,LOGZNCG,,,,
local_global_letter.EZ_non_decision_incongruent,LOGZNINC,,,,
local_global_letter.EZ_non_decision_neutral,LOGZNNEU,,,,
local_global_letter.EZ_non_decision_stay,LOGZNSTY,,,,
local_global_letter.EZ_non_decision_switch,LOGZNSWT,,,,
local_global_letter.EZ_thresh_congruent,LOGZTCG,,,,
local_global_letter.EZ_thresh_incongruent,LOGZTINC,,,,
local_global_letter.EZ_thresh_neutral,LOGZTNEU,,,,
local_global_letter.EZ_thresh_stay,LOGZTSTY,,,,
local_global_letter.EZ_thresh_switch,LOGZTSWT,,,,
local_global_letter.hddm_non_decision,LOGHN,,,,
local_global_letter.hddm_thresh,LOGHT,,,,
local_global_letter.hddm_drift,LOGHD,,,,
local_global_letter.hddm_drift_congruent,LOGHDCG,,,,
local_global_letter.hddm_drift_incongruent,LOGHDINC,,,,
local_global_letter.hddm_drift_neutral,LOGHDNEU,,,,
local_global_letter.hddm_drift_stay,LOGHDSTY,,,,
local_global_letter.hddm_drift_switch,LOGHDSWT,,,,
local_global_letter.hddm_thresh_congruent,LOGHTCG,,,,
local_global_letter.hddm_thresh_incongruent,LOGHTINC,,,,
local_global_letter.hddm_thresh_neutral,LOGHTNEU,,,,
local_global_letter.hddm_thresh_stay,LOGHTSTY,,,,
local_global_letter.hddm_thresh_switch,LOGHTSWT,,,,
local_global_letter.incongruent_harm_acc,LOGICHAC,,,,
local_global_letter.incongruent_harm_rt,LOGICHRT,,,,
local_global_letter.missed_percent,LOGMSPRC,,,,
local_global_letter.post_error_slowing,LOGPES,,,,
local_global_letter.std_rt,LOGDRT,,,,
local_global_letter.std_rt_error,LOGDRTE,,,,
local_global_letter.switch_cost_acc,LOGSWCAC,,,,
local_global_letter.switch_cost_EZ_drift,LOGSWCZD,,,,
local_global_letter.switch_cost_EZ_non_decision,LOGSWCZN,,,,
local_global_letter.switch_cost_EZ_thresh,LOGSWCZT,,,,
local_global_letter.switch_cost_hddm_drift,LOGSWCHD,,,,
local_global_letter.switch_cost_hddm_non_decision,LOGSWCHN,,,,
local_global_letter.switch_cost_hddm_thresh,LOGSWCHT,,,,
local_global_letter.switch_cost_rt,LOGSWCRT,,,,
mindful_attention_awareness_survey.mindfulness,MAASMIND,,,,
motor_selective_stop_signal.EZ_drift,MOSZD,,,,
motor_selective_stop_signal.EZ_non_decision,MOSZN,,,,
motor_selective_stop_signal.EZ_thresh,MOSZT,,,,
motor_selective_stop_signal.hddm_drift,MOSHD,,,,
motor_selective_stop_signal.hddm_non_decision,MOSHN,,,,
motor_selective_stop_signal.hddm_thresh,MOSHT,,,,
motor_selective_stop_signal.go_acc,MOSGAC,,,,
motor_selective_stop_signal.go_rt,MOSGRT,,,,
motor_selective_stop_signal.go_rt_error,MOSGRTE,,,,
motor_selective_stop_signal.go_rt_std,MOSGDRT,,,,
motor_selective_stop_signal.go_rt_std_error,MOSGDRTE,,,,
motor_selective_stop_signal.reactive_control,MOSREC,,,,
motor_selective_stop_signal.selective_proactive_control,MOSSPC,,,,
motor_selective_stop_signal.SS_delay,MOSSSDLY,,,,
motor_selective_stop_signal.SSRT,MOSSSRT,,,,
motor_selective_stop_signal.stop_acc,MOSPAC,,,,
motor_selective_stop_signal.stop_rt_error,MOSPRT,,,,
motor_selective_stop_signal.stop_rt_error_std,MOSPDRTE,,,,
mpq_control_survey.control,MPQCOTR,,,,
probabilistic_selection.missed_percent,PRSMSPRC,,,,
probabilistic_selection.overall_test_acc,PRSOVTAC,,,,
probabilistic_selection.positive_learning_bias,PRSPLB,,,,
probabilistic_selection.value_sensitivity,PRSRVS,,,,
psychological_refractory_period_two_choices.missed_percent,PRPMSPRC,,,,
psychological_refractory_period_two_choices.PRP_slope,PRPSLOPE,,,,
psychological_refractory_period_two_choices.PRP_slowing,PRPSLOW,,,,
psychological_refractory_period_two_choices.task1_acc,PRPTAOAC,,,,
psychological_refractory_period_two_choices.task2_acc,PRPTATAC,,,,
ravens.score,RPMSCOR,,,,
recent_probes.acc,REPAC,,,,
recent_probes.avg_rt,REPAVRT,,,,
recent_probes.avg_rt_error,REPAVRTE,,,,
recent_probes.EZ_drift,REPZD,,,,
recent_probes.EZ_thresh,REPZT,,,,
recent_probes.EZ_non_decision,REPZN,,,,
recent_probes.EZ_drift_rec_neg,REPRNGZD,,,,
recent_probes.EZ_drift_rec_pos,REPRPSZD,,,,
recent_probes.EZ_drift_xrec,REPXZD,,,,
recent_probes.EZ_drift_xrec_neg,REPXNGZD,,,,
recent_probes.EZ_drift_xrec_pos,REPXPSZD,,,,
recent_probes.EZ_non_decision_rec_neg,REPRNGZN,,,,
recent_probes.EZ_non_decision_rec_pos,REPRPSZN,,,,
recent_probes.EZ_non_decision_xrec,REPXZN,,,,
recent_probes.EZ_non_decision_xrec_neg,REPXNGZN,,,,
recent_probes.EZ_non_decision_xrec_pos,REPXPSZN,,,,
recent_probes.EZ_thresh_rec_neg,REPRNGZT,,,,
recent_probes.EZ_thresh_rec_pos,REPRPSZT,,,,
recent_probes.EZ_thresh_xrec,REPXZT,,,,
recent_probes.EZ_thresh_xrec_neg,REPXNGZT,,,,
recent_probes.EZ_thresh_xrec_pos,REPXPSZT,,,,
recent_probes.hddm_non_decision,REPHN,,,,
recent_probes.hddm_thresh,REPHT,,,,
recent_probes.hddm_drift,REPHD,,,,
recent_probes.hddm_non_decision_xrec,REPXHN,,,,
recent_probes.hddm_drift_rec_neg,REPRNGHD,,,,
recent_probes.hddm_drift_rec_pos,REPRPSHD,,,,
recent_probes.hddm_drift_xrec,REPXHD,,,,
recent_probes.hddm_drift_xrec_neg,REPXNGHD,,,,
recent_probes.hddm_drift_xrec_pos,REPXPSHD,,,,
recent_probes.hddm_thresh_rec_neg,REPRNGHT,,,,
recent_probes.hddm_thresh_rec_pos,REPRPSHT,,,,
recent_probes.hddm_thresh_xrec,REPXHT,,,,
recent_probes.hddm_thresh_xrec_neg,REPXNGHT,,,,
recent_probes.hddm_thresh_xrec_pos,REPXPSHT,,,,
recent_probes.missed_percent,REPMSPRC,,,,
recent_probes.post_error_slowing,REPPES,,,,
recent_probes.proactive_interference_acc,REPPINAC,,,,
recent_probes.proactive_interference_EZ_drift,REPPINZD,,,,
recent_probes.proactive_interference_EZ_non_decision,REPPINZN,,,,
recent_probes.proactive_interference_EZ_thresh,REPPINZT,,,,
recent_probes.proactive_interference_hddm_drift,REPPINHD,,,,
recent_probes.proactive_interference_hddm_thresh,REPPINHT,,,,
recent_probes.proactive_interference_rt,REPPINRT,,,,
recent_probes.std_rt,REPDRT,,,,
recent_probes.std_rt_error,REPDRTE,,,,
selection_optimization_compensation_survey.compensation,SOCSCOM,,,,
selection_optimization_compensation_survey.elective_selection,SOCSELSE,,,,
selection_optimization_compensation_survey.loss_based_selection,SOCSLBSE,,,,
selection_optimization_compensation_survey.optimization,SOCSOPT,,,,
self_regulation_survey.control,SSRQCOTR,,,,
sensation_seeking_survey.boredom_susceptibility,SSSBORED,,,,
sensation_seeking_survey.disinhibition,SSSDISIN,,,,
sensation_seeking_survey.experience_seeking,SSSEXPSK,,,,
sensation_seeking_survey.thrill_adventure_seeking,SSSTHRIL,,,,
shape_matching.EZ_drift,SMZD,,,,
shape_matching.EZ_drift_DDD,SMZDDDD,,,,
shape_matching.EZ_drift_DDS,SMZDDDS,,,,
shape_matching.EZ_drift_DNN,SMZDDNN,,,,
shape_matching.EZ_drift_DSD,SMZDDSD,,,,
shape_matching.EZ_drift_SDD,SMZDSDD,,,,
shape_matching.EZ_drift_SNN,SMZDSNN,,,,
shape_matching.EZ_drift_SSS,SMZDSSS,,,,
shape_matching.EZ_non_decision,SMZN,,,,
shape_matching.EZ_non_decision_DDD,SMZNDDD,,,,
shape_matching.EZ_non_decision_DDS,SMZNDDS,,,,
shape_matching.EZ_non_decision_DNN,SMZNDNN,,,,
shape_matching.EZ_non_decision_DSD,SMZNDSD,,,,
shape_matching.EZ_non_decision_SDD,SMZNSDD,,,,
shape_matching.EZ_non_decision_SNN,SMZNSNN,,,,
shape_matching.EZ_non_decision_SSS,SMZNSSS,,,,
shape_matching.EZ_thresh,SMZT,,,,
shape_matching.EZ_thresh_DDD,SMZTDDD,,,,
shape_matching.EZ_thresh_DDS,SMZTDDS,,,,
shape_matching.EZ_thresh_DNN,SMZTDNN,,,,
shape_matching.EZ_thresh_DSD,SMZTDSD,,,,
shape_matching.EZ_thresh_SDD,SMZTSDD,,,,
