adaptive_n_back.EZ_drift,adaptive_n_back.EZ_non_decision,adaptive_n_back.EZ_thresh,adaptive_n_back.mean_load,angling_risk_task_always_sunny.keep_loss_percent,angling_risk_task_always_sunny.keep_score,angling_risk_task_always_sunny.release_loss_percent,angling_risk_task_always_sunny.release_score,attention_network_task.EZ_drift_neutral,attention_network_task.EZ_non_decision_neutral,attention_network_task.EZ_thresh_neutral,attention_network_task.conflict_EZ_drift,attention_network_task.conflict_EZ_non_decision,attention_network_task.conflict_EZ_thresh,choice_reaction_time.EZ_drift,choice_reaction_time.EZ_non_decision,choice_reaction_time.EZ_thresh,columbia_card_task_cold.avg_cards_chosen,columbia_card_task_cold.gain_sensitivity,columbia_card_task_cold.information_use,columbia_card_task_cold.loss_sensitivity,columbia_card_task_cold.probability_sensitivity,columbia_card_task_hot.avg_cards_chosen,columbia_card_task_hot.gain_sensitivity,columbia_card_task_hot.information_use,columbia_card_task_hot.loss_sensitivity,columbia_card_task_hot.probability_sensitivity,dietary_decision.health_sensitivity,dietary_decision.taste_sensitivity,digit_span.forward_span,digit_span.reverse_span,directed_forgetting.EZ_drift_pos,directed_forgetting.EZ_non_decision_pos,directed_forgetting.EZ_thresh_pos,directed_forgetting.proactive_interference_EZ_drift,directed_forgetting.proactive_interference_EZ_non_decision,directed_forgetting.proactive_interference_EZ_thresh,discount_titrate.percent_patient,dot_pattern_expectancy.AY.BY_EZ_drift,dot_pattern_expectancy.AY.BY_EZ_non_decision,dot_pattern_expectancy.AY.BY_EZ_thresh,dot_pattern_expectancy.BX.BY_EZ_drift,dot_pattern_expectancy.BX.BY_EZ_non_decision,dot_pattern_expectancy.BX.BY_EZ_thresh,dot_pattern_expectancy.EZ_drift_AX,dot_pattern_expectancy.EZ_non_decision_AY,dot_pattern_expectancy.EZ_thresh_AX,dot_pattern_expectancy.dprime,go_nogo.dprime,hierarchical_rule.score,information_sampling_task.Decreasing_Win_P_correct,information_sampling_task.Decreasing_Win_boxes_opened,information_sampling_task.Decreasing_Win_motivation,information_sampling_task.Fixed_Win_P_correct,information_sampling_task.Fixed_Win_boxes_opened,information_sampling_task.Fixed_Win_motivation,keep_track.score,kirby.percent_patient,local_global_letter.EZ_drift_neutral,local_global_letter.EZ_non_decision_neutral,local_global_letter.EZ_thresh_neutral,local_global_letter.conflict_EZ_drift,local_global_letter.conflict_EZ_non_decision,local_global_letter.conflict_EZ_thresh,local_global_letter.switch_cost_EZ_drift,local_global_letter.switch_cost_EZ_non_decision,local_global_letter.switch_cost_EZ_thresh,motor_selective_stop_signal.EZ_drift,motor_selective_stop_signal.EZ_non_decision,motor_selective_stop_signal.EZ_thresh,motor_selective_stop_signal.SSRT,motor_selective_stop_signal.reactive_control,motor_selective_stop_signal.selective_proactive_control,probabilistic_selection.positive_learning_bias,probabilistic_selection.reg_positive_learning_bias,probabilistic_selection.reg_value_sensitivity,psychological_refractory_period_two_choices.PRP_slope,psychological_refractory_period_two_choices.PRP_slowing,ravens.score,recent_probes.EZ_drift_xrec,recent_probes.EZ_non_decision_xrec,recent_probes.EZ_thresh_xrec,recent_probes.proactive_interference_EZ_drift,recent_probes.proactive_interference_EZ_non_decision,recent_probes.proactive_interference_EZ_thresh,shift_task.learning_rate,simon.EZ_drift_congruent,simon.EZ_non_decision_congruent,simon.EZ_thresh_congruent,simon.simon_EZ_drift,simon.simon_EZ_non_decision,simon.simon_EZ_thresh,spatial_span.forward_span,spatial_span.reverse_span,stim_selective_stop_signal.EZ_drift,stim_selective_stop_signal.EZ_non_decision,stim_selective_stop_signal.EZ_thresh,stim_selective_stop_signal.SSRT,stop_signal.EZ_drift,stop_signal.EZ_non_decision,stop_signal.EZ_thresh,stop_signal.SSRT_high,stop_signal.SSRT_low,stop_signal.proactive_SSRT_speeding,stop_signal.proactive_slowing,stroop.EZ_drift_congruent,stroop.EZ_non_decision_congruent,stroop.EZ_thresh_congruent,stroop.stroop_EZ_drift,stroop.stroop_EZ_non_decision,stroop.stroop_EZ_thresh,threebytwo.EZ_drift_cue_stay,threebytwo.EZ_non_decision_cue_stay,threebytwo.EZ_thresh_cue_stay,threebytwo.cue_switch_cost_EZ_drift,threebytwo.cue_switch_cost_EZ_non_decision,threebytwo.cue_switch_cost_EZ_thresh,threebytwo.task_inhibition,threebytwo.task_switch_cost_EZ_drift,threebytwo.task_switch_cost_EZ_non_decision,threebytwo.task_switch_cost_EZ_thresh,tower_of_london.avg_move_time,tower_of_london.num_correct,tower_of_london.num_optimal_solutions,tower_of_london.planning_time,tower_of_london.total_moves,two_stage_decision.model_based,two_stage_decision.model_free,writing_task.neutral_probability,writing_task.positive_probability
s089,1.4502927227,-0.561255157,1.3716475395,2.35,-0.2333333333,500,-0.1666666667,411,4.2479278593,-0.5630719003,1.0720231234,-0.3804639245,0.0209148018,0.1121690313,2.5734766562,-0.4293001612,1.5096287443,19.75,-0.075,0,-0.0126666667,-0.75,11.8333333333,-0.0090686275,1,-0.0013039216,-2.0441176471,-0.0365003165,-0.3551630662,8.5,6.5,1.3363472927,-0.7530701393,1.3407887897,0.5611293788,0.1333115788,-0.7906848035,0,-0.496763323,0.2192361237,-0.3625360205,-0.145742746,-0.0193795246,0.0777104518,3.0668229344,-0.7586909833,1.6803355475,0.9375,0.7142857143,219,0.6394451141,5,0.0013401079,0.658176899,4.3,0.0013052178,0.5,0.3333333333,2.4489865108,-0.5508124034,1.7289219381,-1.1778330369,0.2291818744,-0.5191706787,-0.4067810615,0.0917941128,0.037301061,3.0727428125,-0.5118766087,0.9582445258,-415.5,-4,-40.5,NA,NA,NA,0.6359358781,489,11,1.5903735018,-0.6061703609,2.2173159454,-0.7725871805,0.153957973,-0.7555185728,0.000236539,3.6179936437,-0.481408563,1.2700740528,-0.8125220705,-0.0054894504,0.1171509454,5,4.7,3.7317447079,-0.4980391962,1.0125268229,-451,2.5981993238,-0.4793802459,1.0740722253,-309.8333333333,-343,33.1666666667,35.1347222222,2.555778952,-0.493305318,1.7817960696,-0.5641280915,0.2379661691,-0.589365307,2.8662636971,-0.5381180444,1.466959451,-0.5723836595,0.0111408962,-0.0725216142,-64,-0.4119807958,0.0574670628,-0.1166896305,721,9,7,4233.5,61,-0.5870851566,1.0658224658,0.8542763256,0.3774259951
s091,1.3897696675,-0.294444201,0.874018543,1.65,-0.2666666667,720,-0.3666666667,380,3.4762139605,-0.446552908,0.9019853932,-0.0791876036,0.0981200436,-0.1542885769,5.4969792322,-0.2991591415,0.7829873302,12.8333333333,0.0666666667,1,-0.0016666667,-1,17.25,-0.0523640662,2,-0.0087612293,-2.3096926714,0.0524459772,-1.1841357133,7.6,6.5,3.100999655,-0.4809605426,1.3746147537,-0.3521805568,-0.0375610502,0.3430644853,0.3055555556,1.408044637,0.2171023369,-0.2324441816,2.2062835867,0.0746892554,-0.3905885448,4.2589647123,-0.3899762012,1.20998692,1,0.8857142857,222,0.805166626,11,0.0013351366,1,22.9,0.0020942294,0.6388888889,0.3703703704,1.855443865,-0.4478922478,1.184204286,NA,0.0334643104,-0.2831946824,-0.6859483628,-0.034771672,0.18413373,NA,NA,NA,-200.8333333333,0.5,65.5,1.0869565217,4.2500162579,1.318622298,0.5040214336,355,17,1.3853737253,-0.345313312,1.4780797455,0.5661115376,0.2839914397,-0.4972448329,0.0846926821,6.2898774973,-0.2963473839,0.7305579246,-0.6024044844,0.0360654386,-0.0462785813,4.9,5.3,3.8493121226,-0.407470245,0.7360310761,-267.8333333333,3.3319941122,-0.3896370538,1.2707424929,-228.5,-225.8333333333,-2.6666666667,133.6736111111,3.784805913,-0.491797693,1.2031995818,-0.5936363662,0.0125416906,0.2238248445,2.6979253527,-0.3556142395,1.0446539062,-0.6199666319,0.027540921,0.1093128444,-57.5,0.2145693963,-0.0115030662,-0.1474309564,655.5,12,8,2528.5,63,0.2964008216,-0.3144193271,0.4543755474,0.5359600138
s092,1.5440299982,-0.4401380543,1.3902455568,2.9,-0.4666666667,765,-0.4,545,3.8280329514,-0.4294178884,1.1896127722,-0.8199250611,0.0921834693,-0.154542379,3.8490775341,-0.3146305394,1.1182069093,13.7916666667,0.0458333333,2,-0.0101666667,-3.2916666667,11.347826087,0.1345993117,2,-0.0091347099,-2.8046951819,-0.2870185816,-1.205233717,6.4,4.8,2.5213960005,-0.5598436165,1.1236685326,-1.0898170999,-0.0220976477,0.4001996612,0.3888888889,0.3617354103,0.2148663338,-0.4714410067,2.0710398763,0.0381880977,-0.4270780454,3.0530402538,-0.4994811562,1.2319523501,0.9772727273,0.7142857143,203,0.7333761692,5.4,0.001379564,0.9477935791,16.6,0.0025050339,0.6944444444,0.4444444444,0.2360236816,-0.279415929,1.7179001078,0.6302309981,-0.1474813169,0.2783706707,0.141597497,0.1546625557,0.0778498345,3.2366557024,-0.3066545106,1.386813051,-252,-3,126,1.4444444444,4.6775866845,5.1389169532,0.6464459263,483,11,2.113045422,-0.4243197034,1.6688522111,-0.0420267666,0.0913939579,0.027986032,0.0504327515,4.0137516041,-0.3599420109,0.9696216114,-0.1721896268,0.0417190291,0.0434611714,6.5,6.3,4.2949956145,-0.4247820699,1.0450852044,-255.6666666667,3.2603049515,-0.3706156114,1.05403193,-233.6666666667,-244.6666666667,11,48.2125,2.9023777776,-0.418687023,1.5690159037,-1.3774251443,0.0996977906,-0.3249641585,2.1875273868,-0.4421163645,1.135943104,-0.2815588463,0.03400609,0.0977473832,85.3333333333,-0.2474613321,-0.0867661149,-0.1051492261,806,9,8,2994.5,54,-1.4635395335,0.8002453161,0.8312751778,0.4751914597
s093,1.6036310136,-0.4311013681,1.223538843,2.25,-0.3666666667,450,-0.4,510,2.5498237887,-0.4301811348,1.7690867606,-0.6068304406,-0.0159861419,0.0646343482,2.7729561894,-0.2985085053,1.3985512893,14.9583333333,-0.0708333333,1,-0.0165,-0.5416666667,12.5,NA,3,-0.0194273003,-7.5955510617,-0.0196251866,-0.9373099674,8.3,7.6,2.3402082744,-0.5865514369,1.5192442914,-0.8337553179,-0.0599142712,0.1734216038,0.0277777778,0.7646510385,0.3500038229,-0.1656931318,-1.1691232261,-0.039511102,-0.4374999266,2.0703925927,-0.4730512044,1.579814174,0.5634146341,0.6825396825,133,0.7454021454,9.8,0.0021894911,0.8454101562,21,0.0020420599,0.4722222222,0.2222222222,2.5999769591,-0.4629884342,1.6055477935,-0.9807930748,0.3551309472,-0.3037679348,-0.5639885483,0.1012321939,-0.6110612428,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3339035457,221,10,1.403535921,-0.310896366,1.9973556351,-0.2542960266,0.0796445295,-0.1362195313,0.0520772046,3.587384867,-0.3225607213,1.2809107527,-0.2870375906,0.0438705002,-0.3179654732,6,6.5,4.1891035053,-0.432384987,1.2369671802,-321.1666666667,3.940433951,-0.4150818308,0.998436635,-288,-317.3333333333,29.3333333333,18.0041666667,3.3947006748,-0.4581588731,1.3414663995,-0.254663503,0.0122854383,-0.1153192582,2.1327277745,-0.5203214679,1.5707133969,-0.4301618183,-0.045287967,0.1047761308,26,-0.0852136457,0.0771484764,-0.1597202594,538.5,10,9,2800.5,50,-0.067026654,-0.5897528824,0.8475502033,0.2037607306
s094,1.143717004,-0.4362377024,1.2079615981,2.2,-0.5,700,-0.3666666667,450,4.2322855436,-0.41640975,0.9097088469,0.7405137963,0.0085190317,0.1319220546,NA,NA,NA,7.5,0.075,3,-0.0033333333,-1.5833333333,5.8333333333,0.2063700708,1,-0.0049787664,-1.1954499494,-0.3657381666,-0.2402083656,7.7,6.4,3.0730281823,-0.5108720029,1.1569526378,0.2122149105,0.1008227913,-0.4598065572,0.8333333333,0.083498307,0.2387587536,0.1878131868,0.0129554104,-0.0543856713,0.207829543,4.7011938904,-0.5854758216,1.0986115643,1,0.6285714286,252,0.749597168,11,0.0008340883,1,22.7,0.0013659758,0.5555555556,0.5185185185,2.5251738171,-0.4609751897,1.5570514814,-0.1777303058,0.0191844547,0.212256412,-0.7874847831,0.058083009,-0.1014001812,3.580804816,-0.3524553296,0.8551770264,-250.6666666667,18,72,1.2962962963,NA,NA,0.4671794118,379.5,11,1.8531648736,-0.5023935399,1.902885477,0.5964353591,-0.0010051246,-0.0359141213,0.0224644491,4.3499328655,-0.2670052463,1.056365694,-1.6556061337,0.0826473111,-0.382620396,6.6,6.2,4.1759570721,-0.4111568068,0.6784584456,-233,3.8673555799,-0.3627208417,0.7885291086,-228.6666666667,-222.6666666667,-6,4.7930555556,3.8849760146,-0.3419910789,1.1721763209,-1.3063713259,0.0182253249,0.0437891311,2.7013873516,-0.3577294162,1.8621683108,-0.6793818615,-0.0286626332,-0.1559476488,-35.3333333333,0.0956970444,0.0187999231,0.0106983227,1178,8,7,4588,46,NA,2.2694328857,0.2013845426,0.2686613974
s096,1.829595998,-0.3232155768,0.9352176982,2.3,-0.2333333333,978,-0.2666666667,452,3.5001261817,-0.4013034637,1.1000025147,-0.1949487052,0.0651617238,0.0601571607,4.4770183156,-0.314327135,0.9613686587,8.2916666667,0.0708333333,3,-0.0055,-1.4583333333,7.4583333333,0.0963095238,3,-0.0064809524,-1.6535714286,-0.1441897609,-1.2489252884,9.4,8.4,3.5507152474,-0.491699172,1.2005130178,-0.5739890671,-0.0634879067,0.5103231937,0.8611111111,0.0885270269,0.2677897522,-0.4897713366,0.6038688626,0.0223017029,-0.0892064726,2.7427576931,-0.4876415002,1.21922508,0.9659090909,0.8857142857,310,0.7643220902,9.3,0.0016471514,0.8376403809,13.8,0.0021824425,0.5277777778,0.7037037037,2.3667361947,-0.3449933496,1.7890065289,-0.578696644,0.2294347985,0.2078705547,-0.0733205276,-0.027484771,0.3890155633,3.3812272269,-0.3952464211,1.3275169246,-288.3333333333,10,41,1.0357142857,16.2305228852,-5.3322331677,0.4748262623,319.5,12,2.6820517966,-0.5551602658,1.3147995609,-0.561093131,-0.0652360929,0.0319937548,0.128387999,3.5922935998,-0.3362558782,0.8846865497,-0.5824304551,0.0137005428,0.0294863481,5.1,6.9,3.3615220982,-0.4446411654,1.3352987839,-244.3333333333,3.8214844075,-0.4905063568,1.29124534,-272.1666666667,-247.3333333333,-24.8333333333,-2.2944444444,3.2202858318,-0.5038012665,1.4141219536,-0.6066947343,0.0512487136,0.0590035117,2.9065381905,-0.418279475,1.4944945282,-0.6581861765,-0.0842335388,0.3951095976,-18,0.2717879596,0.0985277487,-0.6496454877,637.5,11,8,2062,54,-2.5085608407,1.7929408043,0.1413967971,0.1654628949
s097,1.008173487,-0.3254760172,1.1610955886,1.75,-0.2666666667,380,-0.2666666667,233,3.323260185,-0.4827840918,1.1585453402,-0.7309312028,0.0637988817,-0.1775250927,4.2269283949,-0.3602274506,0.9207206592,19.1666666667,-0.0583333333,1,0.0013333333,-4.3333333333,28.5,-0.0144025934,1,6.85397e-05,-1.0280950911,0.3273235992,-0.570708568,8.2,6.3,2.85369456,-0.6812439542,1.4937407587,0.4359120294,0.1270374002,-0.3105694296,0,0.5507404248,0.1158444589,0.0230778575,0.1388173004,-0.096390619,0.2335642823,3.1624237769,-0.5563820948,1.6331732678,1,0.9142857143,218,0.8579833984,18.3,0.0012796054,0.984375,20.7,0.0015701081,0.5,0.0740740741,2.3733763695,-0.4111591654,1.7840012899,-0.9515424659,0.476081595,-0.7128002724,-0.0633681723,0.0205689084,0.2467698362,2.4697920881,-0.4249724084,0.9422970123,-414.6666666667,-18.5,50.5,1.7647058824,9.8543070481,-9.9132026974,0.4999681459,402,12,2.1828623634,-0.5313735944,1.6154754343,-0.0189754195,0.0661719363,0.0141275823,0.0303863593,3.5159631055,-0.3408804309,1.3069306225,-0.2793588851,0.0612424847,-0.1044912654,5.4,4.6,3.8121839757,-0.4203298267,0.9926566131,-283.6666666667,3.5415048179,-0.439518947,1.1129680772,-279.8333333333,-260.6666666667,-19.1666666667,22.6125,4.0328790212,-0.5197522518,1.1291875773,-0.6640711087,0.0437545524,0.2225893746,2.2141879692,-0.4557055706,1.151413162,0.3869772829,-0.0087413775,-0.0402297201,18.1666666667,-0.1160878501,0.0263891718,0.0585799344,724.5,8,7,2380.5,63,0.541700332,0.3479221528,0.1848131277,0.5151528476
s098,1.3503464118,-0.3700023282,1.2845600509,2.4,-0.3666666667,966,-0.4,378,3.1632064461,-0.424868184,1.4396394826,0.0233548743,0.147051844,-0.4916929768,3.1859017304,-0.3111015597,1.5706530613,14.875,0.1708333333,1,-0.0055,-2.2916666667,12.5,0.2390070922,1,-0.0048699764,-1.1991725768,-0.1610379224,-0.9252034453,7.8,7.6,0.4266653908,-0.6890930251,1.3116034252,-0.6551096658,0.1897255814,-0.6338746986,0.3888888889,1.5565076212,0.4474460415,-0.7639448507,0.9167664067,0.2210459675,-0.2798539719,2.7709882671,-0.7514927652,1.6116661956,0.9886363636,0.453968254,145,0.7632787704,9.2,0.0011140227,0.8879852295,16.9,0.0013438489,0.6388888889,0.6666666667,2.1524873786,-0.6166525954,1.9803506954,-0.7078338801,0.1792857804,-0.035382747,-0.5375456275,0.1211797398,-0.1521207067,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6544873017,541,6,1.0055199059,-0.5508923693,1.7819234196,0.3408580713,0.0809724045,-0.3509309687,0.0747185696,2.4392930057,-0.3110255524,1.5954706093,0.3032499936,0.1355704092,-0.4366724314,6,5.7,2.8755024194,-0.406882187,1.0628949135,-294.6666666667,1.3167004198,-0.4706726768,0.9415132465,-377.6666666667,-371,-6.6666666667,81.6444444444,2.2204606596,-0.4416521643,1.7339409212,0.043769371,0.1570694798,-0.3588530251,2.2550870783,-0.3571503053,1.5007803006,-0.3275784198,0.0910645029,-0.1801474411,49.6666666667,-0.5501509313,-0.01085127,0.0890909442,1007.5,8,8,4736.5,46,NA,NA,0.3594173797,0.3479613939
s099,1.2131756354,-0.3348072683,0.8607583675,1.65,-0.0666666667,236,-0.0333333333,165,3.5252699254,-0.4534877391,0.7681823686,-2.3273264064,0.0702724077,-0.2126991767,2.699055017,-0.2412475323,1.1774690809,6.375,0.0041666667,2,-0.0038333333,-1.9583333333,6.3333333333,0.0079987387,2,-0.0055122977,-2.7064326256,0.6206907388,-0.3151220892,7.6,5.9,2.4491100163,-0.4989798771,1.4516898129,0.2109838853,0.0459711721,0.2445762844,0,0.69846095,0.3635094263,-0.3727908049,0.0579220956,0.1403597134,-0.0408751435,2.9063692929,-0.6150044789,1.7691019407,0.9375,0.5714285714,126,0.8103168488,9.2,0.0013731656,0.8968307495,14.1,0.0024342351,0.6944444444,0.5185185185,2.0834064548,-0.4694096878,1.0271957056,-0.2347315697,0.3170442206,-0.523418475,-0.112692908,0.1601821238,-0.2498470169,2.6952017157,-0.4199551536,0.9175307526,-332.6666666667,0,110,0.6129032258,-14.4926029426,14.8618005845,0.2027971735,116,7,2.1640763097,-0.537142891,1.6294991581,-0.3130018286,-0.0441473098,0.3208686432,0.0594648256,3.6145184034,-0.2390376373,1.2712951871,-1.2208779358,0.0657654559,-0.3533525775,6,5.1,2.6516358019,-0.4319554801,0.9043079261,-257.6666666667,2.8029076666,-0.3721460973,1.1081636287,-249.5,-228.3333333333,-21.1666666667,18.2652777778,2.7588142415,-0.343671396,1.3955805881,-0.6847562232,0.0575768609,-0.0899034194,1.7652854625,-0.3883270679,0.9759138872,0.5785163141,-0.0100302834,0.3800257925,-43.1666666667,-1.3063193159,0.0322863916,-0.4848533827,526,11,7,2130,72,NA,NA,0.8581592075,0.3900451268
s102,1.2954518465,-0.3369665611,0.904072957,1.6,-0.4333333333,650,-0.4333333333,550,2.4110800415,-0.3836606145,1.3004521467,-1.1634358796,0.1148116736,-0.5432877047,2.7973731538,-0.2419590163,1.5386095657,12,-0.075,0,0.0003333333,-0.3333333333,27.9130434783,-0.0045454545,0,-0.0055566188,-0.6184210526,0.0908712097,-0.6657958844,6.7,4.8,1.5658206393,-0.5408902162,1.3280202659,-0.5094835382,0.0801915321,-0.3823782621,0.0833333333,-1.2546107301,0.1879547673,-0.2321417031,-0.9914779109,-0.2568421813,0.1107024183,3.0599072387,-0.4622692976,1.088988734,0.832183908,0.5174603175,108,0.6904129505,5.8,0.0016462818,0.6801437378,12.3,0.0017187646,0.75,0.1481481481,2.3258608524,-0.5153350427,1.0040905557,-1.4791542825,0.1471884935,-0.3840320989,-0.2333687589,0.1301953766,-0.0334262771,2.4537139019,-0.3412220408,0.9772513702,-399.1666666667,-23,62.5,NA,NA,NA,0.5566739089,451,13,0.39707999,-0.7232025811,0.9557006932,-0.6474660433,-0.1184686506,0.3443572483,0.0718888273,2.5275497334,-0.4054164694,1.2573654984,-0.7259038676,0.0375553205,-0.249792367,5.7,6.1,2.1660606195,-0.3837075271,0.9778840143,-386.3333333333,2.625431845,-0.3198147028,1.3079704244,-299.6666666667,-262.1666666667,-37.5,-20.0194444444,1.9364492659,-0.3560100678,1.2382949117,0.2957554797,0.0319272836,-0.0351896184,1.5176214256,-0.3200150636,1.2205837766,-0.5620952129,0.0298045676,-0.0980224193,54.8333333333,0.0067522544,0.0074583668,0.2159969566,663.5,10,6,2199,66,NA,NA,0.8315301179,0.609376921
s103,1.0821996931,-0.497902668,1.1630919063,1.8,-0.2333333333,664,-0.3333333333,324,3.0282911175,-0.4356193205,1.4967515729,-0.4619527305,0.0491623511,-0.0402353476,2.4725738232,-0.2616106973,1.7352199562,11.4583333333,0.0125,1,-5e-04,-5.625,7.125,0.1616843703,3,-0.0050804249,-2.2086494689,0.0567841079,-0.6941529235,6.1,4.6,-0.2927692616,-0.4540263457,1.3849305963,-2.0291847532,0.1659788408,-0.8015208807,0.1388888889,-0.4503451009,0.2353128872,-0.1372167433,-1.6546169507,-0.0791430173,0.2456759935,2.7917307068,-0.6830793138,1.8375335065,0.8571428571,0.853968254,143,0.7385379792,8.7,0.0010727896,0.7926330566,15,0.0011125346,0.6388888889,0.2962962963,2.3502044796,-0.5220329029,1.6559496554,-1.0076385132,0.2016259856,-0.0774197136,0.1560583988,0.1585553622,-0.0932273735,2.7187358593,-0.4150590908,1.1776003604,-439.1666666667,-46,145,0.7931034483,-1.8326477337,4.147481201,0.593642214,361,3,1.210618102,-0.5709698094,1.9553016845,-0.553293471,0.4627911035,-1.0178035606,0.0818989383,3.0870871075,-0.3957503013,0.891304721,-0.475524961,0.0751512423,0.0439006842,4.6,4.7,2.7949239395,-0.4766020406,1.1475737855,-327.3333333333,3.1498814295,-0.41644133,1.119521672,-271.1666666667,-253,-18.1666666667,-0.3472222222,3.1103500349,-0.4703349462,1.46410431,-0.0873991937,0.2319180433,-0.4341453484,1.9427189187,-0.4681696001,1.1497248521,0.0861305646,-0.024882306,0.1850465163,56.5,-0.2603711483,0.0985346195,-0.2423123083,933,11,8,2317,52,-1.4483185633,1.3682758556,0.593664155,0.5745071466
s105,0.8302588812,-0.3564393264,0.6740256571,1.05,-0.4666666667,627,-0.2,599,2.9339225544,-0.3657226929,1.5521462503,-0.3841663178,0.0688201189,-0.3101462567,2.677460411,-0.339242955,1.6049856007,15.875,0.0708333333,0,-0.0088333333,0.7083333333,22.2916666667,0.0171284635,2,0.0057371956,-2.2298488665,0.0369162536,-0.9195799635,6.3,4.7,1.2496523487,-0.5419521161,1.203596663,1.4121257444,0.0787889561,-0.0897171196,0.8611111111,0.5870425377,0.3067255564,-0.4769086564,-0.4854417703,0.0638239999,-0.3789822419,2.6926042663,-0.5039993963,1.6542896229,0.8010057471,0.6,155,0.7342792511,8.1,0.0019930811,0.8955169678,15.1,0.0019821293,0.6388888889,0.6296296296,1.8335953628,-0.4075399346,1.4769072043,-2.3683643411,0.3401243536,-1.0100460421,-0.1139545744,0.1173603531,0.2530085601,2.5889802205,-0.3935623727,1.1258344841,-291.8333333333,14,40,0.7586206897,-13.1151731298,21.5769127927,0.5576468825,404,3,1.3955331717,-0.5081351318,1.9867594539,-0.6313324041,0.2633248094,NA,0.0557219541,2.813109448,-0.4032039304,1.1297298911,-1.691240288,0.0696108614,-0.3744743849,6.3,4.8,2.9839014791,-0.5255995716,1.1265560035,-220,2.7153869583,-0.3717871913,0.9982411581,-220.3333333333,-289.1666666667,68.8333333333,24.0236111111,2.7826612006,-0.4368214298,1.6288722077,-1.0741064042,0.130376256,-0.3832395184,1.4906427199,-0.3979895628,1.0569510317,-0.907511019,0.0270954884,0.0587275793,7.3333333333,0.0616720467,0.0286284652,-0.1850801419,811,11,9,2842.5,50,0.2707705548,1.6640897581,0.8215974089,0.3816790055
s106,1.408992767,-0.2776558085,0.8447471409,1.65,-0.2,800,-0.4333333333,356,2.8150500508,-0.4512857741,0.7643779558,-1.9986421811,0.0587803414,-0.1339760606,5.6304814714,-0.2920462964,0.5980475821,17.625,0.0541666667,0,-0.0065,-1.625,18.7083333333,0.2657589921,2,-0.0032017883,-2.2098150782,0.0950163847,-0.9221298278,8.3,7,2.6391338794,-0.4332388696,1.0622274235,-0.7346493326,-0.0789268153,0.2892591093,0.7777777778,-0.9807235131,0.3328674576,-0.5853246263,1.8401682675,0.1017217595,-0.4035293994,2.8606369942,-0.4441059092,1.0642812925,0.9545454545,0.6857142857,160,0.6421589851,4.5,0.0012834576,0.6838119507,8.9,0.0013489725,0.4722222222,0.8888888889,3.0187509958,-0.4124780422,1.0792862818,-1.363241969,0.0762630924,-0.090311322,-0.1863726704,-0.0052301149,0.3316281784,2.7607941639,-0.3841142218,0.5829619366,-283.8333333333,-47.5,12.5,1,5.2824545404,-5.1247654911,0.3842625785,238,7,1.8185795781,-0.4905096901,1.3016332321,-0.3703597281,-0.021861606,0.2085238763,0.0330572968,4.5163998678,-0.2622154857,1.0174298079,-1.5594681404,0.0753979946,-0.274353951,5.4,4.9,2.4645773366,-0.3874846813,0.591276271,-315.1666666667,2.4745997786,-0.4213810839,0.7997135652,-230.6666666667,-259.3333333333,28.6666666667,32.3555555556,3.350832707,-0.3973623525,1.3461906042,-1.0221198674,0.0578056429,0.0002588861,2.2959495259,-0.3674242814,1.0749798737,-0.3412978474,0.0923296972,-0.0794520411,-6.3333333333,-0.3548135524,-0.1002914079,0.0161137701,581.5,11,10,3137,50,0.0560278315,0.7684553512,0.4162853786,0.6711490993
s107,1.3509019617,-0.4317358286,1.3901969697,2.25,-0.3666666667,622,-0.4333333333,649,3.5081288494,-0.4252450452,1.0974932128,-0.2728544174,0.0305548233,0.1147496,3.2282336212,-0.3113877941,1.114328355,11.2083333333,0.1625,2,0.0028333333,-4.5416666667,13.5416666667,0.1211586902,1,0.0024072208,-3.7315281276,0.2234873837,-0.6430794458,6.7,7.8,2.0190341453,-0.4238707339,1.4032518225,0.3935808384,-0.0079618095,0.0799493668,0.3333333333,-1.7769600367,0.5280612181,-0.1940456189,0.0687426235,0.0356419366,-0.0232719822,4.188052094,-0.6719320113,1.2304745688,0.9375,0.7396825397,164,0.6801818848,5.9,0.0010243,1,25,0.0012345529,0.5,0.4074074074,1.9204432732,-0.6187260932,1.7351225921,-0.6679920119,0.1746743154,-0.5334189657,0.2669705155,0.1326591563,0.3432544088,3.3006245776,-0.4051878766,0.8920853947,-300,-21.5,38.5,0.3428571429,-10.30535972,6.2151996408,0.5763595557,470,11,1.8747857102,-0.644550255,1.4788830036,-0.5298968385,0.0635029965,-0.2839012427,0.0558911686,2.7160408952,-0.3248275792,1.4329019512,1.0270592092,0.0957393812,-0.3931701274,5.8,5.1,3.034326682,-0.4301908509,1.7095673437,-270.3333333333,3.1508994357,-0.4313494333,1.1452151871,-260.3333333333,-273,12.6666666667,-14.7305555556,2.57062205,-0.3842646452,1.4893832396,0.9616077107,0.1445017741,-0.212326023,2.7151061273,-0.46694557,1.0844655204,-0.0248930215,-0.0910823127,0.5253449928,47.5,-0.3375681323,0.1113515129,-0.590645294,819.5,11,10,4076,45,0.6260322439,0.4760826753,0.2205553883,0.1797998153
