"Worker ID","Link to Individual Worker Page","Number of HITs approved or rejected - Lifetime","Number of HITs approved - Lifetime","Your Lifetime approval rate","Number of HITs approved or rejected - Last 30 days","Number of HITs approved - Last 30 days","Your Last 30 days approval rate","Number of HITs approved or rejected - Last 7 days","Number of HITs approved - Last 7 days","Your Last 7 days approval rate","CURRENT-SelfConceptWorker","UPDATE-SelfConceptWorker","CURRENT-SelfConceptTester","UPDATE-SelfConceptTester","CURRENT-RetestWorkerB5","UPDATE-RetestWorkerB5","CURRENT-RetestWorkerB4","UPDATE-RetestWorkerB4","CURRENT-RetestWorkerB3","UPDATE-RetestWorkerB3","CURRENT-RetestWorkerB2","UPDATE-RetestWorkerB2","CURRENT-RetestWorker","UPDATE-RetestWorker","CURRENT-Pilot_EMA","UPDATE-Pilot_EMA","CURRENT-LifetimeWorker","UPDATE-LifetimeWorker","CURRENT-F/U","UPDATE-F/U","CURRENT BlockStatus","UPDATE BlockStatus","BlockReason"
"A12SMSQ6D5227J","https://requester.mturk.com/workers/A12SMSQ6D5227J","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A12TQWN743KRK2","https://requester.mturk.com/workers/A12TQWN743KRK2","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A130X6CF795CQ5","https://requester.mturk.com/workers/A130X6CF795CQ5","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A133QG754CGS3I","https://requester.mturk.com/workers/A133QG754CGS3I","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","2","","Never Blocked","",""
"A138BU1VWM2RKN","https://requester.mturk.com/workers/A138BU1VWM2RKN","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A13FXMMPTZUVRP","https://requester.mturk.com/workers/A13FXMMPTZUVRP","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","1","","","","","","","","","","","","1","","","","Never Blocked","",""
"A13JDX06ZXN4KJ","https://requester.mturk.com/workers/A13JDX06ZXN4KJ","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A13NXSZ9D5NTHN","https://requester.mturk.com/workers/A13NXSZ9D5NTHN","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A13OOAT2ORKH6V","https://requester.mturk.com/workers/A13OOAT2ORKH6V","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","2","","Never Blocked","",""
"A13S51CM86QRBD","https://requester.mturk.com/workers/A13S51CM86QRBD","5","5","100.00%","5","5","100.00%","4","4","100.00%","","","","","","","","","","","","","","","1","","","","","","Never Blocked","",""
"A13TFZTDF48KI2","https://requester.mturk.com/workers/A13TFZTDF48KI2","6","6","100.00%","6","6","100.00%","5","5","100.00%","","","","","","","","","","","","","","","1","","","","","","Never Blocked","",""
"A13VIJ7G997ZCY","https://requester.mturk.com/workers/A13VIJ7G997ZCY","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A13WFFPE9L1QAB","https://requester.mturk.com/workers/A13WFFPE9L1QAB","6","6","100.00%","6","6","100.00%","5","5","100.00%","","","","","","","","","","","","","","","1","","","","","","Never Blocked","",""
"A13XNKKN2LI6DF","https://requester.mturk.com/workers/A13XNKKN2LI6DF","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","1","","1","","1","","","","","","1","","","","Never Blocked","",""
"A13XS8F6QHRT6H","https://requester.mturk.com/workers/A13XS8F6QHRT6H","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1489QNXV5IM6O","https://requester.mturk.com/workers/A1489QNXV5IM6O","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","1","","","","","","1","","","","Never Blocked","",""
"A149ROBL26JWPJ","https://requester.mturk.com/workers/A149ROBL26JWPJ","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A14D2JR6Y9494U","https://requester.mturk.com/workers/A14D2JR6Y9494U","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","2","","Never Blocked","",""
"A14HW0XMI4R2ON","https://requester.mturk.com/workers/A14HW0XMI4R2ON","4","4","100.00%","4","4","100.00%","3","4","133.33%","","","","","","","","","","","","","","","1","","","","","","Never Blocked","",""
"A14I3K8UN3612X","https://requester.mturk.com/workers/A14I3K8UN3612X","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","1","","1","","","","","","1","","","","Never Blocked","",""
"A14NP6X071S7GK","https://requester.mturk.com/workers/A14NP6X071S7GK","6","6","100.00%","6","6","100.00%","5","5","100.00%","","","","","","","","","","","","","","","1","","","","","","Never Blocked","",""
"A14WLAP6TCEKO0","https://requester.mturk.com/workers/A14WLAP6TCEKO0","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A150GMV1YQWWB3","https://requester.mturk.com/workers/A150GMV1YQWWB3","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A154X03NKVZZL1","https://requester.mturk.com/workers/A154X03NKVZZL1","6","6","100.00%","6","6","100.00%","5","5","100.00%","","","","","","","","","","","","","","","1","","","","","","Never Blocked","",""
"A157M7ERFNYO04","https://requester.mturk.com/workers/A157M7ERFNYO04","6","6","100.00%","6","6","100.00%","5","5","100.00%","","","","","","","","","","","","","","","1","","","","","","Never Blocked","",""
"A15CDKMH6YDJ39","https://requester.mturk.com/workers/A15CDKMH6YDJ39","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","1","","","","","","","","","","","","","","","","Never Blocked","",""
"A15PUZKRWJH0EY","https://requester.mturk.com/workers/A15PUZKRWJH0EY","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","2","","Never Blocked","",""
"A15V8K8M4TXT9Y","https://requester.mturk.com/workers/A15V8K8M4TXT9Y","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A15YKNI2MBQIJS","https://requester.mturk.com/workers/A15YKNI2MBQIJS","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1640H4RXH8NZE","https://requester.mturk.com/workers/A1640H4RXH8NZE","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","1","","","","","","","","","","1","","","","Never Blocked","",""
"A16DQUZ8SV9IBM","https://requester.mturk.com/workers/A16DQUZ8SV9IBM","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A16G6PPH1INQL8","https://requester.mturk.com/workers/A16G6PPH1INQL8","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A16ICTTBPD7Q6Y","https://requester.mturk.com/workers/A16ICTTBPD7Q6Y","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A16KDMZ7CEDHNV","https://requester.mturk.com/workers/A16KDMZ7CEDHNV","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A16S0KKQ2MIZHT","https://requester.mturk.com/workers/A16S0KKQ2MIZHT","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","1","","1","","1","","1","","","","","","1","","","","Never Blocked","",""
"A16TESTJICU76L","https://requester.mturk.com/workers/A16TESTJICU76L","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A16UAN46CNIRHY","https://requester.mturk.com/workers/A16UAN46CNIRHY","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","1","","","","","","1","","","","Never Blocked","",""
"A173LV77LF3SHB","https://requester.mturk.com/workers/A173LV77LF3SHB","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","1","","1","","","","","","1","","","","Never Blocked","",""
"A17497K07LP4RX","https://requester.mturk.com/workers/A17497K07LP4RX","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A176SCS13Y7YOH","https://requester.mturk.com/workers/A176SCS13Y7YOH","6","6","100.00%","6","6","100.00%","5","5","100.00%","","","","","","","","","","","","","","","1","","","","","","Never Blocked","",""
"A177EXELDLWTWV","https://requester.mturk.com/workers/A177EXELDLWTWV","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A17CJYH3NI201S","https://requester.mturk.com/workers/A17CJYH3NI201S","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","1","","","","","","","","","","","","1","","","","Never Blocked","",""
"A17D65I948OQZM","https://requester.mturk.com/workers/A17D65I948OQZM","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","1","","1","","1","","","","","","1","","","","Never Blocked","",""
"A17D6G2G4V7B9V","https://requester.mturk.com/workers/A17D6G2G4V7B9V","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A17GH7I35D6K03","https://requester.mturk.com/workers/A17GH7I35D6K03","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","1","","Never Blocked","",""
"A17MUS17DFQZ4P","https://requester.mturk.com/workers/A17MUS17DFQZ4P","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","1","","","","1","","","","Never Blocked","",""
"A18ABCQ0UCECNP","https://requester.mturk.com/workers/A18ABCQ0UCECNP","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","1","","1","","","","","","1","","","","Never Blocked","",""
"A18BNI2SCP2VEC","https://requester.mturk.com/workers/A18BNI2SCP2VEC","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A18JN79AHDB8PD","https://requester.mturk.com/workers/A18JN79AHDB8PD","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","1","","1","","","","","","1","","","","Never Blocked","",""
"A18N5VGRYPN2QH","https://requester.mturk.com/workers/A18N5VGRYPN2QH","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","1","","1","","","","","","1","","","","Never Blocked","",""
"A18S8HN3R2LL3N","https://requester.mturk.com/workers/A18S8HN3R2LL3N","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A18T67NDI2JK5Y","https://requester.mturk.com/workers/A18T67NDI2JK5Y","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","1","","","","","","","","","","","","1","","","","Never Blocked","",""
"A18TCR555RWUZV","https://requester.mturk.com/workers/A18TCR555RWUZV","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A18XFOKU5G1OL1","https://requester.mturk.com/workers/A18XFOKU5G1OL1","6","6","100.00%","6","6","100.00%","5","5","100.00%","","","","","","","","","","","","","","","1","","","","","","Never Blocked","",""
"A1945USNZHTROX","https://requester.mturk.com/workers/A1945USNZHTROX","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A195KL2GMUGRF3","https://requester.mturk.com/workers/A195KL2GMUGRF3","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","1","","Never Blocked","",""
"A195MOXRMNHRVT","https://requester.mturk.com/workers/A195MOXRMNHRVT","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","1","","Never Blocked","",""
"A19C6T7B0H4PAQ","https://requester.mturk.com/workers/A19C6T7B0H4PAQ","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","1","","1","","","","1","","","","Never Blocked","",""
"A19F0UPKU4IT2P","https://requester.mturk.com/workers/A19F0UPKU4IT2P","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","1","","","","","","","","","","1","","","","Never Blocked","",""
"A19F72FI7KBTAT","https://requester.mturk.com/workers/A19F72FI7KBTAT","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","2","","Never Blocked","",""
"A19TL7AJ0FB1JG","https://requester.mturk.com/workers/A19TL7AJ0FB1JG","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","1","","","","","","","","","","1","","","","Never Blocked","",""
"A19UBZFVUWL1ES","https://requester.mturk.com/workers/A19UBZFVUWL1ES","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1A1A9UHNQCI9Y","https://requester.mturk.com/workers/A1A1A9UHNQCI9Y","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1AO1LLP3INAZF","https://requester.mturk.com/workers/A1AO1LLP3INAZF","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","1","","1","","","","","","1","","","","Never Blocked","",""
"A1AYVIX1Y6F6OE","https://requester.mturk.com/workers/A1AYVIX1Y6F6OE","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","1","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1B4KC5KP7FH1Z","https://requester.mturk.com/workers/A1B4KC5KP7FH1Z","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","1","","","","","","1","","","","Never Blocked","",""
"A1B4WL7N3ACF2T","https://requester.mturk.com/workers/A1B4WL7N3ACF2T","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","2","","Never Blocked","",""
"A1BEBN58T1E0TH","https://requester.mturk.com/workers/A1BEBN58T1E0TH","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1BEYZ1LAFOJ2C","https://requester.mturk.com/workers/A1BEYZ1LAFOJ2C","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","2","","Never Blocked","",""
"A1BIJGB7XA0GME","https://requester.mturk.com/workers/A1BIJGB7XA0GME","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","1","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1BNR1ZAF1QGWG","https://requester.mturk.com/workers/A1BNR1ZAF1QGWG","2","2","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","3","","1","","","","Never Blocked","",""
"A1C0SVMOXIUNWJ","https://requester.mturk.com/workers/A1C0SVMOXIUNWJ","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1C6BL1O5L5LA9","https://requester.mturk.com/workers/A1C6BL1O5L5LA9","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","1","","1","","1","","","","","","1","","","","Never Blocked","",""
"A1CA46R2A6TV9W","https://requester.mturk.com/workers/A1CA46R2A6TV9W","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1CGUFW3R6M234","https://requester.mturk.com/workers/A1CGUFW3R6M234","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","1","","1","","1","","","","","","1","","","","Never Blocked","",""
"A1CPNA5L0J834N","https://requester.mturk.com/workers/A1CPNA5L0J834N","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","1","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1CUTQUSPA2DPU","https://requester.mturk.com/workers/A1CUTQUSPA2DPU","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","1","","","","","","1","","","","Never Blocked","",""
"A1CYNV91NQD4VK","https://requester.mturk.com/workers/A1CYNV91NQD4VK","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1D0JL4MJ7XSGV","https://requester.mturk.com/workers/A1D0JL4MJ7XSGV","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1DABMXVWWL0TR","https://requester.mturk.com/workers/A1DABMXVWWL0TR","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","2","","Never Blocked","",""
"A1DIGREVLNOXT3","https://requester.mturk.com/workers/A1DIGREVLNOXT3","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1DJNUJZN8FE7N","https://requester.mturk.com/workers/A1DJNUJZN8FE7N","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1DK3FVV13STX2","https://requester.mturk.com/workers/A1DK3FVV13STX2","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1DRDRFGZKQ6Q9","https://requester.mturk.com/workers/A1DRDRFGZKQ6Q9","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","1","","","","1","","","","Never Blocked","",""
"A1DS5O8MSI3ZH0","https://requester.mturk.com/workers/A1DS5O8MSI3ZH0","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","1","","1","","","","","","1","","","","Never Blocked","",""
"A1E4K9G6ZKPKX4","https://requester.mturk.com/workers/A1E4K9G6ZKPKX4","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","2","","Never Blocked","",""
"A1EAEZ7VIHKQ2","https://requester.mturk.com/workers/A1EAEZ7VIHKQ2","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","1","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1EEJ1R28OKBRS","https://requester.mturk.com/workers/A1EEJ1R28OKBRS","6","6","100.00%","6","6","100.00%","5","5","100.00%","","","","","","","","","","","","","","","1","","","","","","Never Blocked","",""
"A1EI4NMV2EHSIY","https://requester.mturk.com/workers/A1EI4NMV2EHSIY","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","1","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1EITLFAMKA61U","https://requester.mturk.com/workers/A1EITLFAMKA61U","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1EJF2XR921HDX","https://requester.mturk.com/workers/A1EJF2XR921HDX","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","1","","Never Blocked","",""
"A1EQ2HDHF2WWSY","https://requester.mturk.com/workers/A1EQ2HDHF2WWSY","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","2","","Never Blocked","",""
"A1ER8K8UM70Y7T","https://requester.mturk.com/workers/A1ER8K8UM70Y7T","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1ETJBNTO9ZWZ8","https://requester.mturk.com/workers/A1ETJBNTO9ZWZ8","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1F1DF9S6J4P4F","https://requester.mturk.com/workers/A1F1DF9S6J4P4F","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1F34ZP6YNI98F","https://requester.mturk.com/workers/A1F34ZP6YNI98F","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1FBI9CPTNYMMR","https://requester.mturk.com/workers/A1FBI9CPTNYMMR","6","6","100.00%","6","6","100.00%","5","5","100.00%","","","","","","","","","","","","","","","1","","","","","","Never Blocked","",""
"A1FHS282JP487T","https://requester.mturk.com/workers/A1FHS282JP487T","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","1","","","","1","","","","Never Blocked","",""
"A1FK01GE7K8DBU","https://requester.mturk.com/workers/A1FK01GE7K8DBU","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","1","","1","","1","","1","","","","1","","","","Never Blocked","",""
"A1FQK51ECARQNK","https://requester.mturk.com/workers/A1FQK51ECARQNK","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1FSPD1LIOXCN1","https://requester.mturk.com/workers/A1FSPD1LIOXCN1","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1FTPVV8F8GWXN","https://requester.mturk.com/workers/A1FTPVV8F8GWXN","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","1","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1GABEPSX2V15F","https://requester.mturk.com/workers/A1GABEPSX2V15F","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A1GHMM8WNMYZSN","https://requester.mturk.com/workers/A1GHMM8WNMYZSN","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","1","","1","","1","","","","","","1","","","","Never Blocked","",""
"A1GJA9DZS0F43K","https://requester.mturk.com/workers/A1GJA9DZS0F43K","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","1","","1","","1","","","","","","1","","","","Never Blocked","",""
"A1GK9ZI7T30X9Z","https://requester.mturk.com/workers/A1GK9ZI7T30X9Z","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
