,NBAC,NBAVRT,NBMEANLD,ARTKCLCK,angling_risk_task_always_sunny.keep_coef_of_variation,ARTKSCOR,ARTRCLCK,angling_risk_task_always_sunny.release_coef_of_variation,ARTRSCOR,ANTAC,ANTALTAC,ANTALTRT,ANTAVRT,ANTCONAC,ANTCONRT,attention_network_task.congruent_rt,attention_network_task.incongruent_rt,attention_network_task.neutral_rt,ANTORTAC,ANTORTRT,BITIHDL,BITIHDM,BITIHDS,BISATTII,BISMOTII,BISNPLII,BBASDRIV,BBASFUNS,BBASRWRD,BBASBIS,BSCSSCON,CRTAC,CRTAVRT,CGRSCRP,CGRSINTP,CCTCAVCC,CCTCGAIN,CCTCINFO,CCTCLOSS,CCTCPROB,CCTHAVCC,CCTHGAIN,CCTHINFO,CCTHLOSS,CCTHPROB,DIIDYSF,DIIFUNC,DDTHEALT,DDTTASTE,DGSFORWD,DGSREVRS,DRFAC,DRFAVRT,DRFPINAC,DRFPINRT,DSTPCTP,DPTEEB,DPTFEB,DPTHEB,DPTREB,DPTSEB,DPTERP,DPTFRP,DPTHRP,DPTRRP,DPTSRP,DPTERT,DPTFRT,DPTHRT,DPTRRT,DPTSRT,dot_pattern_expectancy.AX_rt,DPEAYBAC,DPEAYBRT,dot_pattern_expectancy.AY_rt,DPEBXBAC,DPEBXBRT,dot_pattern_expectancy.BX_rt,dot_pattern_expectancy.BY_rt,DPEAC,DPEAVRT,DPBIAS,DPEDPRIM,TFEQCGRS,TFEQEEAT,TFEQUEAT,ERQREAP,ERQSUPP,FFMQAWAR,FFMQDESC,FFMQNJUD,FFMQNREA,FFMQOBSV,FTPSFTP,GNGAC,GNGBIAS,GNGDRPIM,GRTSGRIT,HIRAC,HIRAVRT,HIRSCOR,HLTBETA,HLTPROBW,HLTRSKAV,HLTSFCH,IMVIMPLS,IMVVNTUR,ISTDECPC,ISTDECAC,ISTDECMV,ISTFXDPC,ISTFXDAC,ISTFXDMV,KTTSCOR,KRBHDRL,KRBHDRM,KRBHDRS,KRBPCTP,KRBPCTPL,KRBPCTPM,KRBPCTPS,LCATACTL,LOGAC,LOGAVRT,LOGCONAC,LOGCONRT,LOGCFCAC,LOGCFCRT,local_global_letter.congruent_rt,local_global_letter.global_bias_acc,local_global_letter.global_bias_rt,local_global_letter.global_conflict_rt,local_global_letter.global_congruent_rt,local_global_letter.global_incongruent_rt,LOGICHAC,LOGICHRT,local_global_letter.incongruent_rt,local_global_letter.local_conflict_rt,local_global_letter.local_congruent_rt,local_global_letter.local_incongruent_rt,LOGSWCAC,LOGSWCRT,MAASMIND,MOSSSRT,motor_selective_stop_signal.ignore_acc,motor_selective_stop_signal.ignore_rt_error,motor_selective_stop_signal.ignore_rt_error_std,motor_selective_stop_signal.proactive_control_rt,motor_selective_stop_signal.reactive_control_rt,MPQCOTR,probabilistic_selection.approach_trial_acc,probabilistic_selection.approach_trial_rt,probabilistic_selection.avoid_trial_acc,probabilistic_selection.avoid_trial_rt,PRSOVTAC,PRSPLB,PRSRVS,PRPSLOPE,PRPTAOAC,PRPTATAC,RPMSCOR,REPAC,REPAVRT,REPPINAC,REPPINRT,SOCSCOM,SOCSELSE,SOCSLBSE,SOCSOPT,SSRQCOTR,SSSBORED,SSSDISIN,SSSEXPSK,SSSTHRIL,SMAC,SMAVRT,shape_matching.stimulus_interference_acc,SHFTAC,SHFTAVRT,SHFTLR,SHFTLTL,SHFTBETA,SHFTMDCY,SHFTMLR,SIMAC,SIMAVRT,simon.congruent_acc,simon.congruent_avg_rt,simon.congruent_sd_rt,simon.incongruent_acc,simon.incongruent_avg_rt,simon.incongruent_sd_rt,SIMSIMAC,SIMSIMRT,SRTAVRT,SPSFORWD,SPSREVRS,STSSSRT,stim_selective_stop_signal.ignore_acc,stim_selective_stop_signal.ignore_rt_error,stim_selective_stop_signal.ignore_rt_error_std,stim_selective_stop_signal.reactive_control_rt,SSSSRTHI,SSSSRTLO,SSPASS,stop_signal.proactive_slowing_rt,STRAC,STRAVRT,stroop.congruent_rt,stroop.incongruent_rt,STRSTRAC,STRSTRRT,TIPIAGRE,TIPICONS,TIPIEMST,TIPIEXTR,TIPIOPEN,TWILLELR,32AC,32AVRT,threebytwo.cue_switch_cost_acc_100.0,threebytwo.cue_switch_cost_acc_900.0,32CSCRT1,32CSCRT9,threebytwo.task_switch_cost_acc_100.0,threebytwo.task_switch_cost_acc_900.0,32TSCRT1,32TSCRT9,ZTPIFUTR,ZTPIPNEG,ZTPIPPOS,ZTPIPRFA,ZTPIPRHE,TOLAVGMT,TOLNEM,TOLOPTSL,TOLPLNTM,TSTAVRT,TSTMODBA,TSTMODFR,TSTPRSV,UPPLPERS,UPPLPREM,UPPNEGUR,UPPPOSUR,UPPSENSE,WRTNEUPR,WRTPOSPR
s553,0.6960000000000001,606.0,1.2,33.6363636364,8.9418515955,691.0,10.1363636364,2.7306977051,212.0,0.9791666667,0.055555555599999994,25.5,693.0,0.0208333333,104.5,643.5,748.0,676.0,-0.027777777799999997,76.5,0.0259698848,0.0140456543,0.0289462891,5.1333333332999995,5.3928571429,6.0666666667,3.0,3.25,2.6,2.1428571429,45.0,0.9866666667,449.0,0.5,0.33333333330000003,4.875,-0.0041666667,0.0,-0.0018333332999999998,0.2916666667,10.2916666667,0.0733670374,1.0,-0.00026531849999999996,-4.8892821031,1.1666666667,1.0,0.49624585299999996,0.5081194343000001,7.1,6.3,0.6363636364,1169.0,0.7857142856999999,-424.0,0.1666666667,3.5,1.6666666666999999,2.5,3.5,5.833333333300001,2.5,4.3333333333,2.5,4.1666666667,1.1666666667,3.8333333332999997,1.5,4.8333333333,3.0,7.0,686.0,0.0625,-253.0,722.5,0.05833333330000001,103.0,1036.0,841.0,0.9677419355,705.0,-0.38182073689999996,3.7658133657999997,16.6666666667,0.0,3.7037037037,4.1666666667,3.75,2.375,3.25,4.375,3.5714285714000003,3.75,35.0,0.9942857143000001,-0.4134816835,4.6313963585,27.0,0.40909090909999996,772.0,144.0,25.7627506452,0.9984046206999999,0.3968411315,9.0,1.2631578947,1.4,0.7659355164,0.8,0.0007733419000000001,0.8846771240000001,1.0,0.0008134536,0.5277777778,0.0250474647,0.1265219767,0.0256124969,0.2592592593,0.33333333330000003,0.11111111109999999,0.33333333330000003,3.0,0.9438202247,1253.0,0.06388206390000001,87.0,0.024242424199999998,-49.0,1231.5,0.0256410256,-57.0,-8.0,1298.0,1290.0,0.0396396396,136.0,1325.0,285.0,1176.0,1461.0,-0.0276315789,79.5,4.2666666667,349.8333333333,1.0,614.0,171.0722779815,147.0,33.0,37.0,,,,,,,,0.7784892522,1.0,0.987012987,8.0,0.7887323944,1464.0,-0.1666666667,183.5,0.5,0.33333333330000003,,0.33333333330000003,99.0,0.5,0.6000000000000001,0.44444444439999997,0.30000000000000004,0.9927272726999999,983.0,0.0,0.5913705584000001,594.0,0.11341878890000001,-0.000701021,6.592928627999999,0.6242121125,0.20389694739999997,0.9696969697,501.0,0.96,444.5,93.3693149787,0.9795918367,550.0,126.930185964,0.0195918367,106.0,366.0,4.8,4.9,412.6666666667,0.9,782.0,286.5450317469,150.0,278.1666666667,325.1666666667,47.0,-14.5991597856,0.9684210526,914.5,746.0,1035.0,-0.0638297872,276.5,2.0,4.0,3.0,3.5,5.0,41.0,0.9747126437000001,879.0,-0.018128655,0.0,47.5,64.0,-0.0124661247,-0.006944444399999999,72.0,46.0,2.6923076923,3.4,3.3333333332999997,3.7777777778,3.2,2841.0555555555998,4.0,8.0,2984.4166666666997,851.068877551,0.0864742558,0.2235375014,1.2681929235,2.3,2.4545454545,2.3333333333,1.0714285714,2.3333333333,0.8308374900000001,0.3871539649
s554,0.7964824120999999,523.0,2.05,,,,,,,0.9791666667,0.055555555599999994,-27.5,606.0,-0.0625,63.5,596.5,660.0,594.5,-0.027777777799999997,16.0,5.726000000000002e-06,0.0012116318,0.006466796899999999,4.6,5.2857142857,5.9333333333,2.75,2.5,3.4,3.2857142857,28.0,0.9866666667,474.5,1.0,0.0,17.7916666667,0.17083333329999997,3.0,-0.0075000000000000015,-3.7916666667,18.5,0.0276595745,2.0,-0.0182411348,-5.6436170213,1.4166666666999999,1.1818181818,-0.08598925550000001,0.8976714677000001,6.9,7.3,0.9722222222,931.0,0.0,109.5,0.7222222222,2.0,2.3333333333,1.5,3.3333333332999997,4.0,5.0,4.8333333333,5.666666666699999,4.5,3.5,2.0,1.0,2.5,3.0,5.0,434.0,0.0,286.5,581.5,-0.0625,21.0,317.5,295.0,0.9921259843000001,438.0,-0.5629734621,4.194188013,27.7777777778,66.6666666667,51.851851851899994,5.5,4.5,2.625,3.0,2.875,2.7142857143,3.25,51.0,0.9714285714,-1.0385004381999998,3.3813588491,24.0,0.6222222222,723.5,224.0,1.2928725743,0.514558072,0.043806033099999996,4.0,1.5263157895,1.3333333333,0.7928710938,0.8,0.0019242926,1.0,1.0,0.0014605934,0.5555555556,0.0038729833,0.009797959,0.009797959,0.4814814815,0.5555555556,0.44444444439999997,0.44444444439999997,1.0,0.9375,651.0,-0.1851851852,141.0,-0.0263157895,58.0,588.0,-0.0106707317,16.0,49.0,649.0,698.0,-0.1588693957,83.0,715.0,184.0,538.5,722.5,-0.0945399393,41.5,3.2,399.8333333333,0.95,543.0,136.3252766905,111.0,30.5,40.0,,,,,,,,0.4605822453,0.965,0.965,12.0,0.9154929576999999,798.0,-0.22222222219999999,-21.5,0.25,0.4166666667,0.75,0.33333333330000003,72.0,0.1,0.30000000000000004,0.7777777778,0.30000000000000004,0.9714285714,545.0,-0.1,0.4914425428,436.0,0.1261312189,-0.0008674019,9.8120600201,0.5814560832,0.1646011142,0.96,552.5,0.92,530.0,167.85111113780002,1.0,577.0,158.21388261799999,0.08,60.5,345.5,6.5,5.7,327.3333333333,0.9666666667,647.0,221.43401664790002,55.5,253.1666666667,305.6666666667,52.5,-66.4472511522,0.9583333333,656.5,651.0,666.5,-0.0833333333,9.0,4.5,3.0,4.0,2.0,2.5,37.0,0.9200913242,725.5,-0.0023847377000000003,-0.0336927224,98.0,-68.0,-0.09115561119999999,-0.0125408942,79.0,90.0,3.3076923077,3.7,2.8888888889,2.7777777778,3.2,3044.7023809524,-1.0,7.0,4412.6666666667,544.0829145729,0.19154656399999997,-0.043199768900000005,-0.2450847882,2.7,2.2727272727,2.9166666667000003,1.8571428571000002,2.25,0.8513549120999999,0.2048830082
s555,0.8430107526999999,607.0,3.25,13.846153846199998,3.6953192845999996,345.0,9.2173913043,2.8277283163,204.0,0.9930555556,0.027777777799999997,33.0,587.0,-0.0208333333,40.0,587.0,627.0,579.5,0.0,104.0,1.3844000000000003e-05,4.92632e-05,0.0023291016000000003,3.2666666667000004,4.3571428570999995,4.5,2.5,3.25,3.4,2.4285714286,44.0,1.0,372.0,0.6666666667000001,0.1666666667,2.2916666667,0.0375,3.0,-0.0025,-0.625,6.416666666699999,0.12715339550000002,3.0,-0.0063614667,-2.2584074637,1.0833333333,1.7272727273,0.1486656374,0.8778451698,6.6,7.3,1.0,834.0,0.0,58.5,0.6111111111,2.0,2.5,1.0,6.166666666699999,4.8333333333,5.0,4.6666666667,6.166666666699999,2.8333333332999997,2.6666666667000003,1.6666666666999999,2.0,1.5,5.3333333333,5.666666666699999,387.0,0.0,172.5,491.0,0.0,39.5,358.0,318.5,0.9921875,386.0,0.1910395678,4.9380558016,66.6666666667,22.2222222222,51.851851851899994,7.0,1.75,4.125,4.75,4.875,4.2857142857,3.75,52.0,1.0,0.0,5.965407751,25.0,0.6333333333,730.5,228.0,3.1133116670999996,0.9839534352,0.1238079075,4.0,1.2105263158,1.7333333333,0.8784576416000001,0.9,0.0008363981000000001,1.0,1.0,0.0007726542999999999,0.6111111111,0.0006324555,0.0006324555,0.0015811388,0.7407407407000001,0.7777777778,0.7777777778,0.6666666667000001,3.0,0.9894736842,921.5,-0.0357142857,347.0,0.0,106.5,765.0,-0.0208333333,-226.5,378.0,739.0,1117.0,-0.0357142857,240.5,1114.5,133.5,978.5,1112.0,-0.0227272727,49.5,5.0666666667,255.1666666667,1.0,466.5,69.1867284227,179.5,9.5,44.0,0.9333333333,875.0,0.8333333333,897.0,0.9111111111,3.9717226323,8.464381063,0.6991107784,1.0,0.995,17.0,0.9859154929999999,1167.5,0.0,224.5,0.1666666667,0.5833333333,0.75,0.6666666667000001,134.0,0.0,0.5,0.6666666667000001,0.9,0.9964285714,599.0,-0.025,0.3480392157,485.5,-0.0255258183,0.000866757,1.0,0.0,0.1,1.0,483.0,1.0,487.5,78.7980342653,1.0,482.0,56.3878116806,0.0,-5.5,329.5,7.0,6.8,263.8333333333,1.0,718.0,107.2441259108,78.0,217.8333333333,206.3333333333,-11.5,68.6305322129,1.0,692.0,680.5,740.5,0.0,60.0,6.0,4.5,7.0,6.0,6.5,37.0,0.9727272726999999,684.5,0.05882352940000001,0.0263157895,29.0,37.5,-0.0476190476,-0.0129032258,23.0,15.0,3.0769230769,1.9,3.5555555556,1.6666666666999999,2.6666666667000003,1683.1944444444,-2.0,9.0,5803.25,523.3075,0.6636253921,0.3837521503,2.1771369834,2.5,2.3636363636,1.3333333333,1.0714285714,3.1666666667000003,0.8001659335,0.5360006371
s556,0.6783919598,529.5,1.05,17.68,10.6876876202,431.0,6.954545454500001,4.3036780806,149.0,0.9583333333,-0.027777777799999997,-17.5,579.0,-0.0416666667,49.0,556.0,605.0,571.0,-0.0833333333,55.5,0.0017018869,0.0102949219,6.6148378906000005,4.3333333333,5.25,4.5333333333,3.5,4.0,4.0,1.4285714286000002,59.0,0.9866666667,486.0,0.6666666667000001,0.0,13.333333333299999,0.18333333329999998,0.0,0.0023333333,0.6666666667000001,3.0416666667000003,-0.0125328084,0.0,-0.0002519685,0.029527559100000003,1.3333333333,2.0,0.806031169,0.0957239489,7.0,5.5,0.8,1054.5,-0.1875,122.0,,3.0,3.5,2.0,3.5,3.6666666667,3.3333333332999997,1.0,4.8333333333,3.3333333332999997,3.8333333332999997,2.8333333332999997,3.0,3.1666666667000003,2.3333333333,4.8333333333,630.0,-0.2,345.5,847.0,0.0,-131.0,381.5,512.5,0.9291338583,616.5,0.5852987131,4.1495375109,22.2222222222,44.4444444444,37.037037037,6.5,6.0,2.875,3.625,3.75,4.0,4.625,52.0,0.9628571429,-1.3273158840000001,3.310775983,26.0,0.45505617979999996,1045.5,162.0,1.2928725743,0.514558072,0.043806033099999996,4.0,1.6315789474000002,1.7333333333,0.4121016979,0.6000000000000001,0.0021113333,0.5823420882,0.4,0.0012063136,0.19444444440000003,0.009797959,0.0256124969,0.06403124240000001,0.2962962963,0.33333333330000003,0.33333333330000003,0.22222222219999999,2.0,0.8645833333,610.0,-0.41935483869999995,68.0,0.0,22.0,587.0,-0.2511904762,59.0,15.0,546.0,561.0,-0.41935483869999995,46.0,569.0,8.5,596.0,604.5,-0.0487804878,6.0,4.0666666667,,,,,,,38.0,0.7666666667,715.5,0.7666666667,688.5,0.7444444444,0.8386160898999999,3.1494763314,0.1372507102,0.7770700637000001,0.7133757962,4.0,0.7887323944,1172.5,-0.055555555599999994,-62.0,0.5,0.75,0.4166666667,0.5833333333,142.0,0.5,0.4,0.44444444439999997,0.6000000000000001,0.982078853,711.0,-0.025,0.3136246787,585.0,-0.0094072369,-0.0022402553,1.0,0.0,0.1,0.97,498.0,1.0,457.5,132.27402139,0.94,501.5,122.47748814389999,-0.06,45.5,350.0,4.8,4.9,,,,,,,,,,0.9895833333,631.0,583.5,700.5,-0.0208333333,118.5,7.0,7.0,7.0,4.5,5.0,22.0,0.8545034642,900.5,0.0261904762,0.0351818724,71.5,100.0,-0.0327172827,-0.0869767442,48.0,-13.5,3.7692307692,1.8,3.6666666667,2.5555555556,5.0,2382.2222222222,4.0,7.0,4567.3333333333,,,,,1.1,1.1818181818,1.8333333333,2.1428571429,4.0,0.8939293806999999,0.7553309773000001
s557,0.8101851851999999,630.5,1.75,34.0,8.94427191,493.0,44.9090909091,14.031782106700001,474.0,0.9652777778,-0.055555555599999994,80.0,624.0,-0.1041666667,84.0,608.0,692.0,597.5,0.027777777799999997,97.5,4.0342399999999995e-05,3.77336e-05,0.0043427734,3.6666666667,3.7142857143,3.4666666667,2.5,1.75,3.6,3.8571428571,55.0,0.98,451.0,0.5,0.1666666667,10.791666666700001,-0.0208333333,1.0,-0.0008333333,-4.5416666667,15.416666666700001,0.0552419355,0.0,-0.008924731200000001,-3.6021505376,,,,,9.0,6.3,,,,,0.5277777778,1.6666666666999999,2.0,1.8333333333,2.3333333333,4.8333333333,5.666666666699999,6.0,6.166666666699999,5.666666666699999,4.0,,,,,,519.0,-0.0625,106.5,638.0,-0.0666666667,-99.5,452.0,540.5,0.9763779528,543.0,-0.3884511935,3.7790742791,,,,4.5,1.5,3.125,4.375,3.0,2.7142857143,3.875,54.0,,,,30.0,,,,7.6113128603,0.7339492028,0.37525354829999996,7.0,1.1052631579,1.2666666667,0.7416572571000001,0.8,0.0009524917,1.0,1.0,0.0020646181,,,,,,,,,,0.9583333333,846.5,-0.11111111109999999,342.5,0.0,75.0,770.0,-0.0833333333,57.0,351.0,771.0,1122.0,-0.11111111109999999,267.5,1058.0,152.5,736.5,889.0,-0.0429951691,128.5,3.8666666667,301.3333333333,1.0,530.5,122.3400604687,59.0,-28.5,,,,,,,,,0.4293551114,0.7828282828,0.7676767676999999,8.0,,,,,,,,,131.5,0.4,0.2,0.6666666667000001,0.30000000000000004,0.9928571429,792.0,0.0,,,,,,,,,,,,,,,,,,338.0,5.8,6.1,,,,,,,,,,,,,,,,6.0,6.0,4.0,6.0,7.0,25.0,0.9681818181999999,830.0,0.046511627900000005,0.0,-59.5,-37.0,-0.0656934307,-0.0198675497,108.5,92.0,,,,,,,,,,622.9974874372,0.4883358534,-0.1128966905,-0.6404955907000001,1.4,1.5454545455000002,2.0833333333,1.0,1.9166666666999999,0.1486577964,0.37818594060000005
s558,,,,,,,,,,0.9722222222,0.0833333333,47.0,617.0,-0.0625,93.0,583.0,676.0,611.0,-0.027777777799999997,99.5,,,,,,,,,,,27.0,0.98,502.0,0.8333333333,0.0,,,,,,5.1666666667,0.08970117400000001,3.0,-0.0038633938,-1.2038420491,,,,,,,,,,,,2.5,2.5,2.5,4.6666666667,5.666666666699999,4.5,4.3333333333,5.666666666699999,3.3333333332999997,3.5,,,,,,,,,,,,,,,,,,66.6666666667,77.7777777778,74.0740740741,,,2.625,3.5,3.125,3.0,3.5,51.0,,,,15.0,0.6333333333,1106.0,228.0,1.2928725743,0.514558072,0.043806033099999996,4.0,1.1578947368,1.5333333333,1.0,1.0,0.0003038656,1.0,1.0,0.0006217368000000001,0.5,,,,,,,,,0.8736842105,911.0,-0.28258064520000004,119.5,0.0143589744,161.5,791.0,-0.1286764706,-31.5,98.0,791.0,889.0,-0.29693961950000003,-42.0,911.0,172.5,779.0,951.5,-0.1423444976,297.0,3.8,,,,,,,38.0,,,,,,,,0.7723147771000001,0.9684210526,0.9578947368,,,,,,,,,,,0.5,0.8,1.0,0.6000000000000001,,,,,,,,,,,,,,,,,,,,,,5.9,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s561,0.7840375587,487.5,1.35,55.785714285699996,8.859402405900001,738.0,31.0666666667,1.6676187756999998,437.0,0.9814814815,-0.034482758599999996,37.0,615.0,-0.0007936508000000001,19.5,598.0,617.5,620.0,-0.037037037,-90.5,0.0010898117999999998,0.0011885643,0.2215546875,5.4,4.7142857143,5.4,2.25,2.75,3.2,2.2857142857,41.0,0.9597315436,526.0,0.8333333333,0.0,12.458333333299999,-0.0125,0.0,-0.0025,0.20833333329999998,16.9583333333,0.0032052578000000003,0.0,-0.0010050556,0.5679474216,1.25,1.4545454544999998,0.1199504807,0.9290000223,9.9,11.0,0.8970588235,1313.0,0.0,-29.5,,3.8333333332999997,4.0,3.5,4.1666666667,3.5,3.0,3.5,3.1666666667000003,2.8333333332999997,3.1666666667000003,3.5,3.5,3.8333333332999997,4.1666666667,4.0,475.0,-0.2,215.0,578.0,-0.5,-165.5,517.0,490.5,0.9047619048,491.5,-1.1368128097,2.2736256194,61.111111111099994,44.4444444444,48.148148148100006,3.6666666667,3.25,3.0,3.0,3.625,2.5714285714000003,2.375,40.0,0.9742857143000001,-1.1652624446,3.6348828618,24.0,0.33427762040000003,390.0,118.0,0.269837789,1.0,0.1762174164,5.0,1.5789473684000002,1.5333333333,0.7822845459000001,0.7000000000000001,0.0022894867,1.0,1.0,0.0024709171,0.6666666667000001,0.1265219767,0.158113883,0.25,0.0740740741,0.11111111109999999,0.11111111109999999,0.0,4.0,0.8541666667000001,893.5,-0.1701388889,90.0,0.0753968254,-146.0,909.0,-0.1296068796,29.0,13.0,906.0,919.0,-0.24553571429999999,236.0,959.0,58.0,941.0,999.0,-0.0366300366,134.5,3.0666666667,,,,,,,37.0,0.5862068965999999,702.0,0.6666666667000001,495.0,0.5842696629,-1.4602883295,2.9399885876000003,0.5082499006,0.9447236181,0.9447236181,6.0,0.9285714286,1106.0,0.0,69.5,0.33333333330000003,0.5,0.4166666667,,94.5,0.2,0.6000000000000001,0.44444444439999997,0.4,0.9714285714,663.0,0.0,0.30099502489999996,287.5,-0.0213131889,-0.0002978029,0.0682146517,0.0017914245000000002,0.1086345582,1.0,730.5,1.0,717.0,339.0166439335,1.0,756.0,342.3358003044,0.0,39.0,281.0,6.3,5.6,318.6666666667,0.9,480.0,83.4795950038,5.0,248.5,323.1666666667,74.6666666667,-27.915952381,0.9578947368,560.0,498.5,655.0,-0.08510638300000001,145.5,4.5,3.5,5.0,5.0,4.0,39.0,0.899543379,619.0,-0.0551378446,0.1,2.0,-24.0,-0.10150375939999999,-0.08,123.5,14.0,3.0769230769,2.7,3.1111111111,2.8888888889,3.0,1615.2001180638001,27.0,5.0,1911.1666666667002,,,,,2.4,2.4545454545,2.9166666667000003,2.5714285714000003,2.6666666667000003,0.82900109,0.3047287849
s567,,,,13.56,8.9026213368,331.0,9.68,6.1625211291,222.0,,,,,,,,,,,,,,,4.6666666667,4.6785714286,3.8,2.25,3.0,3.6,4.0,,,,0.5,0.33333333330000003,,,,,,6.0,-0.0179261125,1.0,-0.0064861460999999995,-2.0919395466,1.25,1.8181818182,,,6.9,6.2,,,,,,2.0,4.3333333333,2.5,4.6666666667,5.1666666667,,,,,,1.1666666667,3.0,4.1666666667,4.6666666667,6.166666666699999,,,,,,,,,,,,,,,,4.5,2.0,,,,,,,,,,34.0,0.5742296919000001,929.0,205.0,0.4957778092,0.9312439831,0.1059061258,4.0,1.3684210525999998,1.6,0.7264202118,0.8,0.0009492131,1.0,1.0,0.0010100235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,0.9333333333,529.0,0.7666666667,666.0,0.7000000000000001,10.917726826400001,-7.220190552999999,,,,9.0,0.9295774648,1059.0,-0.11111111109999999,-105.0,1.0,0.25,,,,0.4,0.8,0.6666666667000001,0.5,,,,,,,,,,,,,,,,,,,,,,4.2,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4615384615,3.5,1.6666666666999999,1.2222222222,3.6666666667,3961.4722222222,6.0,6.0,2801.8333333333003,608.567357513,-0.4541285506,-0.0261894348,-0.1485802413,,,,,,,
s568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,55.5555555556,48.148148148100006,,,,,,,,54.0,,,,,,,,,,,,,,,,,,,,,0.0015811388,0.0015811388,0.0038729833,0.6296296296,0.6666666667000001,0.6666666667000001,0.5555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9892857143000001,741.0,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s570,0.8080357143000001,793.0,2.5,23.0952380952,3.3151887111,465.0,11.9047619048,2.4880667576,240.0,0.993006993,0.0,37.0,746.0,-0.0208333333,51.0,727.0,778.0,738.0,-0.027777777799999997,72.0,6.11107e-05,0.0004159393,0.0006130371,4.9333333333,3.7142857143,4.5666666667,2.5,2.25,2.8,3.0,38.0,0.9933333333,397.0,0.33333333330000003,0.33333333330000003,4.9166666667,0.1416666667,1.0,-0.0036666666999999997,-1.8333333333,5.0833333333,0.157345576,3.0,-0.007856427400000001,-1.9584724541,1.1666666667,1.4545454544999998,0.0769230769,0.6641025641,8.4,6.9,0.9014084507,1107.0,-0.055555555599999994,32.0,0.8888888889000001,2.0,2.0,1.8333333333,5.0,4.0,4.6666666667,5.0,5.5,3.5,3.3333333332999997,1.8333333333,3.0,2.3333333333,5.5,5.0,650.0,-0.125,141.0,735.0,-0.25,-216.0,507.0,649.0,0.8492063492,657.0,-0.1784846719,1.7059488441,33.3333333333,33.3333333333,37.037037037,5.0,4.0,2.875,3.0,2.625,3.0,3.5,45.0,0.98,-1.0705413209999999,3.8243251091,25.0,0.4735376045,923.5,170.0,4.755929149,0.9702357931,0.1346114405,5.0,1.2105263158,1.8,0.7109851837000001,0.30000000000000004,0.0013572151999999998,0.772675705,0.8,0.0011598868,0.5277777778,0.0015811388,0.0038729833,0.0099597577,0.5555555556,0.6666666667000001,0.5555555556,0.44444444439999997,5.0,0.8586956522,1070.0,-0.3011363636,155.5,-0.016447368400000002,-24.5,1046.0,0.056277056299999996,20.5,-41.0,1110.0,1069.0,-0.2846889952,180.0,1204.0,389.0,1032.0,1421.0,-0.06428571429999999,-45.0,3.8,,,,,,,42.0,,,,,,,,0.7046633512,0.9612903226,0.9032258065,10.0,0.8732394365999999,1297.5,0.055555555599999994,241.0,0.75,,0.6666666667000001,0.8333333333,103.5,0.1,0.1,0.6666666667000001,0.9,0.9928571429,851.5,-0.025,0.35732009929999997,581.0,0.0016057313,-0.0028597755,30.1814172794,0.6761914162999999,0.0529834682,0.99,492.0,0.98,476.0,153.06390422139998,1.0,502.0,121.4861728926,0.02,26.0,342.5,6.7,7.2,255.1666666667,0.7666666667,623.0,197.1363547064,45.0,289.1666666667,304.1666666667,15.0,-21.5107816034,0.9222222221999999,911.0,815.5,1053.0,-0.1220238095,251.5,6.0,4.5,4.5,3.0,4.0,41.0,0.9101382487999999,973.0,-0.022825150699999998,0.0040540541,15.0,162.0,0.0144675926,-0.0787878788,119.0,139.0,3.8461538462,2.6,3.6666666667,2.0,2.6666666667000003,1837.3333333332998,0.0,8.0,4053.25,660.0904522613,0.40492050450000006,-0.0627175438,-0.3558147728,2.2,1.9090909091,2.6666666667000003,2.1428571429,2.9166666667000003,0.3270190964,0.565109937
