,Age,HighestEducation,HeightInches,WeightPounds,DivorceCount,LongestRelationship,RelationshipNumber,ChildrenNumber,HouseholdIncome,RetirementAccount,RetirementPercentStocks,MortgageDebt,CarDebt,EducationDebt,CreditCardDebt,OtherDebtAmount,CoffeeCupsPerDay,TeaCupsPerDay,CaffienatedSodaCansPerDay,CaffieneOtherSourcesDayMG,TrafficTicketsLastYearCount,TrafficAccidentsLifeCount,ArrestedChargedLifeCount
s541,21,3,65,160,0,0,0,0,35000,0.0,,1.0,3.0,2.0,1.0,,0,0,0,0,0,1,0
s546,18,3,70,135,0,0,0,0,100000,0.0,,,,,,,0,0,0,-8,3,0,0
s548,24,6,67,160,0,75,1,0,13,0.0,,,,,,,0,0,0,0,0,2,0
s549,40,5,65,140,0,60,5,0,119999,1.0,20,1.0,1.0,1.0,1.0,1.0,0,1,0,0,0,1,1
s553,30,3,63,97,1,64,2,0,0,0.0,,1.0,1.0,1.0,1.0,1.0,2,3,0,0,0,0,0
s554,23,4,62,115,0,0,0,0,16000,0.0,,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,2,0
s555,34,4,65,140,0,157,3,0,190000,1.0,,1.0,1.0,1.0,1.0,,1,1,0,0,0,1,0
s556,30,3,67,150,0,12,5,0,35000,0.0,0,1.0,1.0,6.0,1.0,1.0,1,1,3,0,0,0,0
s557,18,3,64,116,0,24,3,0,15000,0.0,,1.0,1.0,3.0,1.0,,0,1,0,0,0,0,0
s558,23,3,61,125,0,24,1,0,100000,0.0,,1.0,1.0,5.0,1.0,3.0,3,0,0,0,0,2,0
s561,23,2,67,175,0,64,2,0,63000,0.0,,,1.0,4.0,2.0,1.0,3,0,1,100,0,0,0
s567,38,4,63,140,1,120,5,0,1500,0.0,,1.0,2.0,4.0,1.0,2.0,2,1,2,300,0,2,4
s568,18,3,69,180,0,12,1,0,4000,0.0,,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0,1,0
s570,18,3,69,150,0,0,0,0,90000,0.0,,1.0,1.0,1.0,1.0,1.0,0,1,0,22,1,0,0
s572,22,4,60,110,0,13,3,0,50000,0.0,,,,3.0,2.0,,2,1,0,0,0,2,0
s573,28,5,68,125,0,18,4,0,90000,1.0,0,1.0,1.0,1.0,3.0,3.0,0,1,0,0,1,2,0
s574,22,3,70,125,0,1,1,0,60000,0.0,,1.0,1.0,1.0,2.0,1.0,1,0,0,30,0,2,1
s577,19,3,67,165,0,1,1,0,25000,0.0,,1.0,1.0,4.0,1.0,1.0,0,0,0,0,0,4,0
s579,19,2,63,112,0,23,1,0,4500,0.0,,1.0,1.0,1.0,1.0,1.0,0,1,0,0,0,0,0
s581,18,2,65,130,0,24,3,0,60000,0.0,,,,,2.0,,2,3,0,0,0,0,0
s582,23,4,67,126,0,3,1,0,55000,0.0,,6.0,1.0,2.0,1.0,,0,0,0,0,0,0,0
s583,30,5,56,150,0,78,3,0,50000,0.0,,,1.0,1.0,1.0,,3,1,0,0,0,0,0
s584,18,2,63,135,0,24,4,0,1500,0.0,,1.0,1.0,1.0,1.0,,2,1,0,0,0,0,0
s585,33,4,66,120,0,132,5,2,175000,1.0,100,8.0,4.0,5.0,5.0,,0,0,2,0,0,2,0
s586,27,4,67,178,0,48,2,0,75000,0.0,-2,1.0,1.0,1.0,2.0,1.0,0,0,1,12,0,0,0
s587,19,3,66,120,0,9,2,0,100000,0.0,,,,3.0,1.0,,0,1,0,0,0,0,0
s588,23,3,63,195,0,60,3,1,12000,0.0,,1.0,1.0,3.0,1.0,3.0,1,2,0,250,1,2,0
s589,28,5,70,172,0,42,5,0,240000,1.0,60,1.0,1.0,7.0,1.0,1.0,0,0,1,0,1,1,0
s590,19,3,55,110,0,36,2,0,22000,0.0,,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
s591,21,3,63,140,0,96,1,0,70000,1.0,0,1.0,1.0,2.0,2.0,,1,0,0,0,0,1,0
s592,20,3,70,120,0,20,3,0,500000,0.0,,,,,,,0,0,0,0,0,0,0
s593,24,4,71,160,0,16,3,0,90000,0.0,,1.0,1.0,4.0,1.0,1.0,0,1,0,0,0,0,0
s594,19,3,69,150,0,0,0,0,60000,0.0,,1.0,1.0,1.0,1.0,1.0,0,0,0,100,0,1,0
s595,20,3,63,95,0,3,2,0,150000,0.0,,1.0,1.0,1.0,1.0,,0,0,1,0,0,0,0
s596,40,4,65,113,0,24,5,0,80000,1.0,,1.0,1.0,3.0,1.0,1.0,0,1,0,0,0,2,1
s597,19,3,60,130,0,5,1,0,200000,0.0,,,1.0,1.0,6.0,1.0,0,0,0,0,0,0,0
s598,24,4,62,94,0,18,5,0,9000,0.0,,1.0,1.0,1.0,1.0,,0,1,0,25,0,3,0
s601,33,3,69,70,0,120,5,0,49000,1.0,0,,3.0,4.0,3.0,,1,0,0,0,0,0,3
s602,23,2,5,140,0,3,1,1,25000,0.0,,3.0,2.0,1.0,2.0,1.0,1,1,0,0,0,0,0
s604,23,5,72,175,0,15,2,0,60000,0.0,,,,,,,1,1,0,20,0,0,0
s605,19,3,64,135,0,0,0,0,140000,0.0,,,,,,,2,2,0,0,0,0,0
s606,24,4,66,165,0,17,2,0,175000,0.0,,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0,1,0
s607,23,4,65,110,0,0,0,0,10000,0.0,,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
s608,28,4,72,175,0,42,5,0,85000,1.0,90,1.0,1.0,1.0,1.0,,0,0,0,0,0,1,1
s609,21,3,69,155,0,4,3,0,100000,0.0,,1.0,1.0,3.0,1.0,1.0,3,0,0,0,0,0,0
s610,19,3,64,120,0,0,0,0,12000,0.0,,1.0,1.0,1.0,1.0,,0,0,0,0,0,0,0
s611,20,3,66,140,0,18,1,0,160000,0.0,,1.0,1.0,,1.0,,0,1,0,0,0,1,0
s612,20,3,63,140,0,13,3,0,200000,1.0,30,1.0,1.0,1.0,1.0,1.0,2,0,0,150,0,0,0
s613,28,5,71,167,0,84,4,0,100000,1.0,0,1.0,1.0,1.0,1.0,,0,1,1,100,0,2,1
s614,23,4,64,137,0,3,1,0,50000,0.0,0,1.0,1.0,1.0,1.0,1.0,1,1,1,24,0,0,0
s615,21,2,59,100,0,12,2,0,50000,0.0,,1.0,1.0,1.0,1.0,1.0,0,2,0,0,2,0,0
s616,27,4,62,115,0,83,3,0,370000,0.0,,1.0,1.0,1.0,2.0,,1,1,0,0,0,2,0
s617,19,3,66,125,0,5,3,0,100000,0.0,,3.0,1.0,3.0,1.0,,2,2,0,0,0,1,0
s618,24,4,72,190,0,6,3,0,40000,1.0,90,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,1,0
s619,26,3,67,127,0,10,1,0,60000,0.0,,1.0,1.0,4.0,2.0,1.0,2,0,0,200,0,0,0
s621,24,5,67,142,0,36,4,0,33000,0.0,,1.0,1.0,1.0,5.0,1.0,2,0,0,0,0,3,0
s622,22,4,64,110,0,23,5,0,1000000,0.0,,1.0,1.0,1.0,1.0,1.0,1,1,0,0,0,1,0
s624,21,4,71,200,0,24,2,0,60000,0.0,,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,1,0
s626,22,2,72,165,0,12,2,0,50000,0.0,0,1.0,1.0,,,1.0,3,10,0,300,2,0,0
s627,29,5,70,160,0,64,4,0,60000,1.0,40,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,1
s628,26,6,66,150,0,6,5,0,20000,0.0,,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0,0,0
s629,20,2,68,125,0,1,3,0,80000,0.0,,1.0,1.0,1.0,1.0,,0,1,0,0,0,0,0
s631,23,3,68,154,0,1,6,0,100000,0.0,,1.0,1.0,1.0,3.0,,0,0,0,5,2,3,0
s633,38,3,66,204,1,30,5,0,88600,1.0,100,2.0,2.0,1.0,4.0,2.0,1,1,0,0,0,2,0
s634,25,4,55,174,0,53,3,0,45000,1.0,100,1.0,1.0,4.0,2.0,,0,0,0,0,0,2,0
s635,27,5,64,142,0,24,5,0,143000,1.0,0,1.0,3.0,1.0,1.0,,1,0,0,0,0,2,0
s636,21,2,62,114,0,11,1,0,75000,0.0,,,,,,,1,3,1,1,4,3,0
s637,19,2,62,142,0,6,1,0,33000,0.0,,1.0,1.0,6.0,1.0,,1,0,0,0,0,0,0
s638,22,3,64,123,0,30,5,0,1000000,1.0,10,1.0,3.0,2.0,3.0,,1,2,0,0,0,3,1
s640,26,4,66,165,0,50,1,0,65000,0.0,,1.0,1.0,1.0,1.0,1.0,3,2,0,0,0,2,0
s641,23,5,60,135,0,68,2,0,110000,0.0,,1.0,1.0,6.0,1.0,,2,1,0,100,0,1,0
s642,18,3,60,114,0,1,1,0,50000,0.0,,1.0,1.0,,,1.0,1,3,0,0,1,1,0
s643,31,6,70,210,0,83,1,0,0,0.0,0,1.0,3.0,4.0,1.0,,3,0,0,0,0,5,1
s644,18,3,73,240,0,0,0,0,4000,0.0,,1.0,1.0,2.0,1.0,1.0,1,0,0,0,0,0,0
s645,19,3,68,135,0,0,0,0,2000,0.0,,,,,,1.0,0,1,0,20,0,0,0
s646,22,2,68,142,0,0,0,0,55000,0.0,,3.0,2.0,3.0,1.0,,1,0,1,70,0,1,0
s647,24,4,70,135,0,38,3,0,100000,1.0,3,,4.0,5.0,2.0,,0,1,0,0,0,3,0
s648,30,6,65,130,0,60,5,0,42000,0.0,,1.0,1.0,4.0,3.0,,1,0,0,0,0,3,0
s649,22,3,66,180,0,0,0,0,35000,0.0,,1.0,1.0,1.0,1.0,,1,2,0,0,0,0,0
s650,41,5,80,180,0,48,1,0,100000,1.0,70,,1.0,1.0,1.0,,0,0,.5,0,0,1,0
