,1.0
ANTMSPRC,-1.0
ANTORTZD,1.0
ANTORTZN,1.0
ANTORTZT,1.0
ANTORTAC,1.0
ANTORTHD,1.0
ANTORTRT,1.0
ANTPES,1.0
ANTDRT,1.0
ANTDRTE,1.0
attention_network_task_mturk.EZ_drift,1.0
attention_network_task_mturk.EZ_drift_congruent,1.0
attention_network_task_mturk.EZ_drift_incongruent,1.0
attention_network_task_mturk.EZ_drift_neutral,1.0
attention_network_task_mturk.EZ_non_decision,-1.0
attention_network_task_mturk.EZ_non_decision_congruent,-1.0
attention_network_task_mturk.EZ_non_decision_incongruent,-1.0
attention_network_task_mturk.EZ_non_decision_neutral,-1.0
attention_network_task_mturk.EZ_thresh,1.0
attention_network_task_mturk.EZ_thresh_congruent,1.0
attention_network_task_mturk.EZ_thresh_incongruent,1.0
attention_network_task_mturk.EZ_thresh_neutral,1.0
attention_network_task_mturk.acc,1.0
attention_network_task_mturk.alerting_EZ_drift,1.0
attention_network_task_mturk.alerting_EZ_non_decision,1.0
attention_network_task_mturk.alerting_EZ_thresh,1.0
attention_network_task_mturk.alerting_acc,1.0
attention_network_task_mturk.alerting_hddm_drift,1.0
attention_network_task_mturk.alerting_rt,1.0
attention_network_task_mturk.avg_rt,-1.0
attention_network_task_mturk.avg_rt_error,1.0
attention_network_task_mturk.conflict_EZ_drift,1.0
attention_network_task_mturk.conflict_EZ_non_decision,1.0
attention_network_task_mturk.conflict_EZ_thresh,1.0
attention_network_task_mturk.conflict_acc,1.0
attention_network_task_mturk.conflict_hddm_drift,1.0
attention_network_task_mturk.conflict_rt,-1.0
attention_network_task_mturk.congruency_seq_acc,1.0
attention_network_task_mturk.congruency_seq_rt,1.0
attention_network_task_mturk.hddm_drift,1.0
attention_network_task_mturk.hddm_drift_congruent,1.0
attention_network_task_mturk.hddm_drift_incongruent,1.0
attention_network_task_mturk.hddm_drift_neutral,1.0
attention_network_task_mturk.hddm_non_decision,1.0
attention_network_task_mturk.hddm_thresh,1.0
attention_network_task_mturk.missed_percent,-1.0
attention_network_task_mturk.orienting_EZ_drift,1.0
attention_network_task_mturk.orienting_EZ_non_decision,1.0
attention_network_task_mturk.orienting_EZ_thresh,1.0
attention_network_task_mturk.orienting_acc,1.0
attention_network_task_mturk.orienting_hddm_drift,1.0
attention_network_task_mturk.orienting_rt,1.0
attention_network_task_mturk.post_error_slowing,1.0
attention_network_task_mturk.std_rt,1.0
attention_network_task_mturk.std_rt_error,1.0
BITIHDL,-1.0
BITIHDM,-1.0
BITIHDS,-1.0
bickel_titrator.warnings,1.0
bickel_titrator_mturk.hyp_discount_rate_large,-1.0
bickel_titrator_mturk.hyp_discount_rate_medium,-1.0
bickel_titrator_mturk.hyp_discount_rate_small,-1.0
bickel_titrator_mturk.warnings,1.0
BISATTII,-1.0
BISMOTII,-1.0
BISNPLII,-1.0
BISATTNI,-1.0
BISCGCXI,-1.0
BISCGSTI,-1.0
BISMOTOI,-1.0
BISPERSI,-1.0
BISSCON,-1.0
bis11_survey_mturk.Attentional,-1.0
bis11_survey_mturk.Motor,-1.0
bis11_survey_mturk.Nonplanning,-1.0
bis11_survey_mturk.first_order_attention,-1.0
bis11_survey_mturk.first_order_cognitive_complexity,-1.0
bis11_survey_mturk.first_order_cognitive_stability,-1.0
bis11_survey_mturk.first_order_motor,-1.0
bis11_survey_mturk.first_order_perseverance,-1.0
bis11_survey_mturk.first_order_self_control,-1.0
BBASDRIV,1.0
BBASFUNS,1.0
BBASRWRD,1.0
BBASBIS,1.0
bis_bas_survey_mturk.BAS_drive,1.0
bis_bas_survey_mturk.BAS_fun_seeking,1.0
bis_bas_survey_mturk.BAS_reward_responsiveness,1.0
bis_bas_survey_mturk.BIS,1.0
BSCSSCON,1.0
brief_self_control_survey_mturk.self_control,1.0
CRTZD,1.0
CRTZN,-1.0
CRTZT,1.0
CRTAC,1.0
CRTAVRT,-1.0
CRTAVRTE,1.0
CRTHD,1.0
CRTHN,1.0
CRTHT,1.0
CRTMSPRC,-1.0
CRTPES,1.0
CRTDRT,1.0
CRTDRTE,1.0
choice_reaction_time_mturk.EZ_drift,1.0
choice_reaction_time_mturk.EZ_non_decision,-1.0
choice_reaction_time_mturk.EZ_thresh,1.0
choice_reaction_time_mturk.acc,1.0
choice_reaction_time_mturk.avg_rt,-1.0
choice_reaction_time_mturk.avg_rt_error,1.0
choice_reaction_time_mturk.hddm_drift,1.0
choice_reaction_time_mturk.hddm_non_decision,1.0
choice_reaction_time_mturk.hddm_thresh,1.0
choice_reaction_time_mturk.missed_percent,-1.0
choice_reaction_time_mturk.post_error_slowing,1.0
choice_reaction_time_mturk.std_rt,1.0
choice_reaction_time_mturk.std_rt_error,1.0
CGRSCRP,1.0
CGRSINTP,-1.0
cognitive_reflection_survey_mturk.correct_proportion,1.0
cognitive_reflection_survey_mturk.intuitive_proportion,-1.0
CCTCAVCC,1.0
CCTCGAIN,1.0
CCTCINFO,1.0
CCTCLOSS,1.0
CCTCPROB,1.0
columbia_card_task_cold_mturk.avg_cards_chosen,1.0
columbia_card_task_cold_mturk.gain_sensitivity,1.0
columbia_card_task_cold_mturk.information_use,1.0
columbia_card_task_cold_mturk.loss_sensitivity,1.0
columbia_card_task_cold_mturk.probability_sensitivity,1.0
CCTHAVCC,1.0
CCTHGAIN,1.0
CCTHINFO,1.0
CCTHLOSS,1.0
CCTHPROB,1.0
columbia_card_task_hot_mturk.avg_cards_chosen,1.0
columbia_card_task_hot_mturk.gain_sensitivity,1.0
columbia_card_task_hot_mturk.information_use,1.0
columbia_card_task_hot_mturk.loss_sensitivity,1.0
columbia_card_task_hot_mturk.probability_sensitivity,1.0
DEMBMI,-1.0
DEMAGE,1.0
DEMARST,-1.0
DEMCAFF,1.0
DEMCARDT,1.0
DEMKIDS,1.0
DEMCCDT,1.0
DEMDIVR,1.0
DEMEDUC,1.0
DEMEDUDT,1.0
DEMGAMB,-1.0
DEMHEIG,1.0
DEMHISP,1.0
DEMHOME,1.0
DEMINCOM,1.0
DEMRELLG,1.0
DEMMORDT,1.0
DEMMTMV,1.0
DEMOTMV,1.0
DEMOTDT,1.0
DEMPRIS,1.0
DEMRACE,1.0
DEMRELCT,1.0
DEMRELST,1.0
DEMRETAC,1.0
DEMSEX,1.0
DEMTRACC,-1.0
DEMTRTX,-1.0
DEMWEIG,1.0
demographics_survey_mturk.BMI,-1.0
demographics_survey_mturk.age,1.0
demographics_survey_mturk.arrest_count,-1.0
demographics_survey_mturk.caffeine_intake,1.0
demographics_survey_mturk.car_debt,1.0
demographics_survey_mturk.children_count,1.0
demographics_survey_mturk.credit_card_debt,1.0
demographics_survey_mturk.divoce_count,1.0
demographics_survey_mturk.education,1.0
demographics_survey_mturk.education_debt,1.0
demographics_survey_mturk.gambling_problem?,-1.0
demographics_survey_mturk.height(inches),1.0
demographics_survey_mturk.hispanic?,1.0
demographics_survey_mturk.home_status,1.0
demographics_survey_mturk.household_income(dollars),1.0
demographics_survey_mturk.longest_relationship(months),1.0
demographics_survey_mturk.mortage_debt,1.0
demographics_survey_mturk.mturk_motivation,1.0
demographics_survey_mturk.other_motivation,1.0
demographics_survey_mturk.other_sources_of_debt,1.0
demographics_survey_mturk.percent_retirement_in_stock,1.0
demographics_survey_mturk.race,1.0
demographics_survey_mturk.relationship_count,1.0
demographics_survey_mturk.relationship_status,1.0
demographics_survey_mturk.retirement_account?,1.0
demographics_survey_mturk.sex,1.0
demographics_survey_mturk.traffic_accident_count,-1.0
demographics_survey_mturk.traffic_ticket_count,-1.0
demographics_survey_mturk.weight(pounds),1.0
DIIDYSF,-1.0
DIIFUNC,1.0
dickman_survey_mturk.dysfunctional,-1.0
dickman_survey_mturk.functional,1.0
DDTHEALT,1.0
DDTTASTE,-1.0
dietary_decision_mturk.health_sensitivity,1.0
dietary_decision_mturk.taste_sensitivity,-1.0
DGSFORWD,1.0
DGSREVRS,1.0
digit_span_mturk.forward_span,1.0
digit_span_mturk.reverse_span,1.0
DRFZD,1.0
DRFCTLZD,1.0
DRFNGZD,1.0
DRFPSZD,1.0
DRFZN,-1.0
DRFCTLZN,-1.0
DRFNGZN,-1.0
DRFPSZN,-1.0
DRFZT,1.0
DRFCTLZT,1.0
DRFNGZT,1.0
DRFPSZT,1.0
DRFAC,1.0
DRFAVRT,-1.0
DRFAVRTE,1.0
DRFHD,1.0
DRFCTLHD,1.0
DRFNGHD,1.0
DRFPSHD,1.0
DRFHN,1.0
DRFHT,1.0
DRFMSPRC,-1.0
DRFPES,1.0
DRFPINZD,1.0
DRFPINZN,1.0
DRFPINZT,1.0
DRFPINAC,1.0
DRFPINHD,1.0
DRFPINRT,-1.0
DRFDRT,1.0
DRFDRTE,1.0
directed_forgetting_mturk.EZ_drift,1.0
directed_forgetting_mturk.EZ_drift_con,1.0
directed_forgetting_mturk.EZ_drift_neg,1.0
directed_forgetting_mturk.EZ_drift_pos,1.0
directed_forgetting_mturk.EZ_non_decision,-1.0
directed_forgetting_mturk.EZ_non_decision_con,-1.0
directed_forgetting_mturk.EZ_non_decision_neg,-1.0
directed_forgetting_mturk.EZ_non_decision_pos,-1.0
directed_forgetting_mturk.EZ_thresh,1.0
directed_forgetting_mturk.EZ_thresh_con,1.0
directed_forgetting_mturk.EZ_thresh_neg,1.0
directed_forgetting_mturk.EZ_thresh_pos,1.0
directed_forgetting_mturk.acc,1.0
directed_forgetting_mturk.avg_rt,-1.0
directed_forgetting_mturk.avg_rt_error,1.0
directed_forgetting_mturk.hddm_drift,1.0
directed_forgetting_mturk.hddm_drift_con,1.0
directed_forgetting_mturk.hddm_drift_neg,1.0
directed_forgetting_mturk.hddm_drift_pos,1.0
directed_forgetting_mturk.hddm_non_decision,1.0
directed_forgetting_mturk.hddm_thresh,1.0
directed_forgetting_mturk.missed_percent,-1.0
directed_forgetting_mturk.post_error_slowing,1.0
directed_forgetting_mturk.proactive_interference_EZ_drift,1.0
directed_forgetting_mturk.proactive_interference_EZ_non_decision,1.0
directed_forgetting_mturk.proactive_interference_EZ_thresh,1.0
directed_forgetting_mturk.proactive_interference_acc,1.0
directed_forgetting_mturk.proactive_interference_hddm_drift,1.0
directed_forgetting_mturk.proactive_interference_rt,-1.0
directed_forgetting_mturk.std_rt,1.0
directed_forgetting_mturk.std_rt_error,1.0
DSTGLM,-1.0
DSTGLMNN,-1.0
DSTGLMN,-1.0
DSTNM,-1.0
DSTNMNN,-1.0
DSTNMN,-1.0
DSTPCTP,1.0
discount_titrate.warnings,1.0
discount_titrate_mturk.hyp_discount_rate_glm,-1.0
discount_titrate_mturk.hyp_discount_rate_glm_notnow,-1.0
discount_titrate_mturk.hyp_discount_rate_glm_now,-1.0
discount_titrate_mturk.hyp_discount_rate_nm,-1.0
discount_titrate_mturk.hyp_discount_rate_nm_notnow,-1.0
discount_titrate_mturk.hyp_discount_rate_nm_now,-1.0
discount_titrate_mturk.percent_patient,1.0
discount_titrate_mturk.warnings,1.0
DPTEEB,1.0
DPTFEB,1.0
DPTHEB,1.0
DPTREB,1.0
DPTSEB,1.0
dospert_eb_survey_mturk.ethical,1.0
dospert_eb_survey_mturk.financial,1.0
dospert_eb_survey_mturk.health_safety,1.0
dospert_eb_survey_mturk.recreational,1.0
dospert_eb_survey_mturk.social,1.0
DPTERP,1.0
DPTFRP,1.0
DPTHRP,1.0
DPTRRP,1.0
DPTSRP,1.0
dospert_rp_survey_mturk.ethical,1.0
dospert_rp_survey_mturk.financial,1.0
dospert_rp_survey_mturk.health_safety,1.0
dospert_rp_survey_mturk.recreational,1.0
dospert_rp_survey_mturk.social,1.0
DPTERT,1.0
DPTFRT,1.0
DPTHRT,1.0
DPTRRT,1.0
DPTSRT,1.0
dospert_rt_survey_mturk.ethical,1.0
dospert_rt_survey_mturk.financial,1.0
dospert_rt_survey_mturk.health_safety,1.0
dospert_rt_survey_mturk.recreational,1.0
dospert_rt_survey_mturk.social,1.0
DPEAYBZD,1.0
DPEAYBZN,1.0
DPEAYBZT,1.0
DPEAYBAC,1.0
DPEAYBHD,1.0
DPEAYBRT,1.0
DPEBXBZD,1.0
DPEBXBZN,1.0
DPEBXBZT,1.0
DPEBXBAC,1.0
DPEBXBHD,1.0
DPEBXBRT,1.0
DPEZD,1.0
DPEAXZD,1.0
DPEAYZD,1.0
DPEBXZD,1.0
DPEBYZD,1.0
DPEZN,-1.0
DPEAXZN,-1.0
DPEAYZN,-1.0
DPEBXZN,-1.0
DPEBYZN,-1.0
DPEZT,1.0
DPEAXZT,1.0
DPEAYZT,1.0
DPEBXZT,1.0
DPEBYZT,1.0
DPEAC,1.0
DPEAVRT,-1.0
DPEAVRTE,1.0
DPBIAS,1.0
DPEDPRIM,1.0
DPEHD,1.0
DPEAXHD,1.0
DPEAYHD,1.0
DPEBXHD,1.0
DPEBYHD,1.0
DPEHN,1.0
DPEHT,1.0
DPEMSPRC,-1.0
DPEPES,1.0
DPEDRT,1.0
DPEDRTE,1.0
dot_pattern_expectancy_mturk.AY-BY_EZ_drift,1.0
dot_pattern_expectancy_mturk.AY-BY_EZ_non_decision,1.0
dot_pattern_expectancy_mturk.AY-BY_EZ_thresh,1.0
dot_pattern_expectancy_mturk.AY-BY_acc,1.0
dot_pattern_expectancy_mturk.AY-BY_hddm_drift,1.0
dot_pattern_expectancy_mturk.AY-BY_rt,1.0
dot_pattern_expectancy_mturk.BX-BY_EZ_drift,1.0
dot_pattern_expectancy_mturk.BX-BY_EZ_non_decision,1.0
dot_pattern_expectancy_mturk.BX-BY_EZ_thresh,1.0
dot_pattern_expectancy_mturk.BX-BY_acc,1.0
dot_pattern_expectancy_mturk.BX-BY_hddm_drift,1.0
dot_pattern_expectancy_mturk.BX-BY_rt,1.0
dot_pattern_expectancy_mturk.EZ_drift,1.0
dot_pattern_expectancy_mturk.EZ_drift_AX,1.0
dot_pattern_expectancy_mturk.EZ_drift_AY,1.0
dot_pattern_expectancy_mturk.EZ_drift_BX,1.0
dot_pattern_expectancy_mturk.EZ_drift_BY,1.0
dot_pattern_expectancy_mturk.EZ_non_decision,-1.0
dot_pattern_expectancy_mturk.EZ_non_decision_AX,-1.0
dot_pattern_expectancy_mturk.EZ_non_decision_AY,-1.0
dot_pattern_expectancy_mturk.EZ_non_decision_BX,-1.0
dot_pattern_expectancy_mturk.EZ_non_decision_BY,-1.0
dot_pattern_expectancy_mturk.EZ_thresh,1.0
dot_pattern_expectancy_mturk.EZ_thresh_AX,1.0
dot_pattern_expectancy_mturk.EZ_thresh_AY,1.0
dot_pattern_expectancy_mturk.EZ_thresh_BX,1.0
dot_pattern_expectancy_mturk.EZ_thresh_BY,1.0
dot_pattern_expectancy_mturk.acc,1.0
dot_pattern_expectancy_mturk.avg_rt,-1.0
dot_pattern_expectancy_mturk.avg_rt_error,1.0
dot_pattern_expectancy_mturk.bias,1.0
dot_pattern_expectancy_mturk.dprime,1.0
dot_pattern_expectancy_mturk.hddm_drift,1.0
dot_pattern_expectancy_mturk.hddm_drift_AX,1.0
dot_pattern_expectancy_mturk.hddm_drift_AY,1.0
dot_pattern_expectancy_mturk.hddm_drift_BX,1.0
dot_pattern_expectancy_mturk.hddm_drift_BY,1.0
dot_pattern_expectancy_mturk.hddm_non_decision,1.0
dot_pattern_expectancy_mturk.hddm_thresh,1.0
dot_pattern_expectancy_mturk.missed_percent,-1.0
dot_pattern_expectancy_mturk.post_error_slowing,1.0
dot_pattern_expectancy_mturk.std_rt,1.0
dot_pattern_expectancy_mturk.std_rt_error,1.0
TFEQCGRS,1.0
TFEQEEAT,-1.0
TFEQUEAT,-1.0
eating_survey_mturk.cognitive_restraint,1.0
eating_survey_mturk.emotional_eating,-1.0
eating_survey_mturk.uncontrolled_eating,-1.0
ERQREAP,1.0
ERQSUPP,1.0
erq_survey_mturk.reappraisal,1.0
erq_survey_mturk.suppression,1.0
FFMQAWAR,1.0
FFMQDESC,1.0
FFMQNJUD,1.0
FFMQNREA,1.0
FFMQOBSV,1.0
five_facet_mindfulness_survey_mturk.act_with_awareness,1.0
five_facet_mindfulness_survey_mturk.describe,1.0
five_facet_mindfulness_survey_mturk.nonjudge,1.0
five_facet_mindfulness_survey_mturk.nonreact,1.0
five_facet_mindfulness_survey_mturk.observe,1.0
FTPSFTP,1.0
future_time_perspective_survey_mturk.future_time_perspective,1.0
GNGAC,1.0
GNGBIAS,1.0
GNGDRPIM,1.0
GNGGAC,1.0
GNGGRT,1.0
GNGNOGAC,1.0
go_nogo_mturk.acc,1.0
go_nogo_mturk.bias,1.0
go_nogo_mturk.dprime,1.0
go_nogo_mturk.go_acc,1.0
go_nogo_mturk.go_rt,1.0
go_nogo_mturk.nogo_acc,1.0
GRTSGRIT,1.0
grit_scale_survey_mturk.grit,1.0
HIRAC,1.0
HIRAVRT,-1.0
HIRAVRTE,1.0
HIRMSPRC,-1.0
HIRPES,1.0
HIRSCOR,1.0
HIRDRT,1.0
HIRDRTE,1.0
hierarchical_rule_mturk.acc,1.0
hierarchical_rule_mturk.avg_rt,-1.0
hierarchical_rule_mturk.avg_rt_error,1.0
hierarchical_rule_mturk.missed_percent,-1.0
hierarchical_rule_mturk.post_error_slowing,1.0
hierarchical_rule_mturk.score,1.0
hierarchical_rule_mturk.std_rt,1.0
hierarchical_rule_mturk.std_rt_error,1.0
HLTNOS,1.0
HLTRSKCH,1.0
HLTSFCH,1.0
holt_laury_survey_mturk.number_of_switches,1.0
holt_laury_survey_mturk.risky_choices,1.0
holt_laury_survey_mturk.safe_choices,1.0
IMVIMPLS,-1.0
IMVVNTUR,1.0
impulsive_venture_survey_mturk.impulsiveness,-1.0
impulsive_venture_survey_mturk.venturesomeness,1.0
ISTDECPC,1.0
ISTDECAC,1.0
ISTDECOP,1.0
ISTDECMV,1.0
ISTDECTP,1.0
ISTFXDPC,1.0
ISTFXDAC,1.0
ISTFXDOP,1.0
ISTFXDMV,1.0
ISTFXDTP,1.0
information_sampling_task_mturk.Decreasing_Win_P_correct,1.0
information_sampling_task_mturk.Decreasing_Win_acc,1.0
information_sampling_task_mturk.Decreasing_Win_boxes_opened,1.0
information_sampling_task_mturk.Decreasing_Win_motivation,1.0
information_sampling_task_mturk.Decreasing_Win_total_points,1.0
information_sampling_task_mturk.Fixed_Win_P_correct,1.0
information_sampling_task_mturk.Fixed_Win_acc,1.0
information_sampling_task_mturk.Fixed_Win_boxes_opened,1.0
information_sampling_task_mturk.Fixed_Win_motivation,1.0
information_sampling_task_mturk.Fixed_Win_total_points,1.0
KTTSCOR,1.0
keep_track_mturk.score,1.0
KRBHDR,-1.0
KRBHDRL,-1.0
KRBHDRM,-1.0
KRBHDRS,-1.0
KRBPCTP,1.0
KRBPCTPL,1.0
KRBPCTPM,1.0
KRBPCTPS,1.0
KRBWARN,1.0
kirby_mturk.hyp_discount_rate,-1.0
kirby_mturk.hyp_discount_rate_large,-1.0
kirby_mturk.hyp_discount_rate_medium,-1.0
kirby_mturk.hyp_discount_rate_small,-1.0
kirby_mturk.percent_patient,1.0
kirby_mturk.percent_patient_large,1.0
kirby_mturk.percent_patient_medium,1.0
kirby_mturk.percent_patient_small,1.0
kirby_mturk.warnings,1.0
LCATACTL,1.0
leisure_time_activity_survey_mturk.activity_level,1.0
LOGZTD,1.0
LOGZDCG,1.0
LOGZDINC,1.0
LOGZDNEU,1.0
LOGZDSTY,1.0
LOGZDSWT,1.0
LOGZN,-1.0
LOGZNCG,-1.0
LOGZNINC,-1.0
LOGZNNEU,-1.0
LOGZNSTY,-1.0
LOGZNSWT,-1.0
LOGZT,1.0
LOGZTCG,1.0
LOGZTINC,1.0
LOGZTNEU,1.0
LOGZTSTY,1.0
LOGZTSWT,1.0
LOGAC,1.0
LOGAVRT,-1.0
LOGAVRTE,1.0
LOGCONZD,1.0
LOGCONZN,1.0
LOGCONZT,1.0
LOGCONAC,1.0
LOGCONHD,1.0
LOGCONRT,-1.0
LOGCGSAC,1.0
LOGCGSRT,1.0
LOGCFCAC,1.0
LOGCFCRT,-1.0
LOGHD,1.0
LOGHDCG,1.0
LOGHDINC,1.0
LOGHDNEU,1.0
LOGHDSTY,1.0
LOGHDSWT,1.0
LOGHN,1.0
LOGHT,1.0
LOGICHAC,1.0
LOGICHRT,-1.0
LOGMSPRC,-1.0
LOGPES,1.0
LOGDRT,1.0
LOGDRTE,1.0
LOGSWCZD,1.0
LOGSWCZN,1.0
LOGSWCZT,1.0
LOGSWCAC,1.0
LOGSWCHD,1.0
LOGSWCRT,-1.0
local_global_letter_mturk.EZ_drift,1.0
local_global_letter_mturk.EZ_drift_congruent,1.0
local_global_letter_mturk.EZ_drift_incongruent,1.0
local_global_letter_mturk.EZ_drift_neutral,1.0
local_global_letter_mturk.EZ_drift_stay,1.0
local_global_letter_mturk.EZ_drift_switch,1.0
local_global_letter_mturk.EZ_non_decision,-1.0
local_global_letter_mturk.EZ_non_decision_congruent,-1.0
local_global_letter_mturk.EZ_non_decision_incongruent,-1.0
local_global_letter_mturk.EZ_non_decision_neutral,-1.0
local_global_letter_mturk.EZ_non_decision_stay,-1.0
local_global_letter_mturk.EZ_non_decision_switch,-1.0
local_global_letter_mturk.EZ_thresh,1.0
local_global_letter_mturk.EZ_thresh_congruent,1.0
local_global_letter_mturk.EZ_thresh_incongruent,1.0
local_global_letter_mturk.EZ_thresh_neutral,1.0
local_global_letter_mturk.EZ_thresh_stay,1.0
local_global_letter_mturk.EZ_thresh_switch,1.0
local_global_letter_mturk.acc,1.0
local_global_letter_mturk.avg_rt,-1.0
local_global_letter_mturk.avg_rt_error,1.0
local_global_letter_mturk.conflict_EZ_drift,1.0
local_global_letter_mturk.conflict_EZ_non_decision,1.0
local_global_letter_mturk.conflict_EZ_thresh,1.0
local_global_letter_mturk.conflict_acc,1.0
local_global_letter_mturk.conflict_hddm_drift,1.0
local_global_letter_mturk.conflict_rt,-1.0
local_global_letter_mturk.congruency_seq_acc,1.0
local_global_letter_mturk.congruency_seq_rt,1.0
local_global_letter_mturk.congruent_facilitation_acc,1.0
local_global_letter_mturk.congruent_facilitation_rt,-1.0
local_global_letter_mturk.hddm_drift,1.0
local_global_letter_mturk.hddm_drift_congruent,1.0
local_global_letter_mturk.hddm_drift_incongruent,1.0
local_global_letter_mturk.hddm_drift_neutral,1.0
local_global_letter_mturk.hddm_drift_stay,1.0
local_global_letter_mturk.hddm_drift_switch,1.0
local_global_letter_mturk.hddm_non_decision,1.0
local_global_letter_mturk.hddm_thresh,1.0
local_global_letter_mturk.incongruent_harm_acc,1.0
local_global_letter_mturk.incongruent_harm_rt,-1.0
local_global_letter_mturk.missed_percent,-1.0
local_global_letter_mturk.post_error_slowing,1.0
local_global_letter_mturk.std_rt,1.0
local_global_letter_mturk.std_rt_error,1.0
local_global_letter_mturk.switch_cost_EZ_drift,1.0
local_global_letter_mturk.switch_cost_EZ_non_decision,1.0
local_global_letter_mturk.switch_cost_EZ_thresh,1.0
local_global_letter_mturk.switch_cost_acc,1.0
local_global_letter_mturk.switch_cost_hddm_drift,1.0
local_global_letter_mturk.switch_cost_rt,-1.0
MAASMIND,1.0
mindful_attention_awareness_survey_mturk.mindfulness,1.0
MOSZD,1.0
MOSZN,-1.0
MOSZT,1.0
MOSSSRT,-1.0
MOSSSDLY,1.0
MOSGAC,1.0
MOSGRT,-1.0
MOSGRTE,-1.0
MOSGDRT,1.0
MOSGDRTE,1.0
MOSHD,1.0
MOSHN,1.0
MOSHT,1.0
MOSREC,-1.0
MOSSPC,1.0
MOSPAC,1.0
MOSPRT,-1.0
MOSPDRTE,1.0
motor_selective_stop_signal_mturk.EZ_drift,1.0
motor_selective_stop_signal_mturk.EZ_non_decision,-1.0
motor_selective_stop_signal_mturk.EZ_thresh,1.0
motor_selective_stop_signal_mturk.SSRT,-1.0
motor_selective_stop_signal_mturk.SS_delay,1.0
motor_selective_stop_signal_mturk.go_acc,1.0
motor_selective_stop_signal_mturk.go_rt,-1.0
motor_selective_stop_signal_mturk.go_rt_error,-1.0
motor_selective_stop_signal_mturk.go_rt_std,1.0
motor_selective_stop_signal_mturk.go_rt_std_error,1.0
motor_selective_stop_signal_mturk.hddm_drift,1.0
motor_selective_stop_signal_mturk.hddm_non_decision,1.0
motor_selective_stop_signal_mturk.hddm_thresh,1.0
motor_selective_stop_signal_mturk.ignore_acc,1.0
motor_selective_stop_signal_mturk.ignore_rt_error,-1.0
motor_selective_stop_signal_mturk.ignore_rt_error_std,1.0
motor_selective_stop_signal_mturk.reactive_control,-1.0
motor_selective_stop_signal_mturk.selective_proactive_control,1.0
motor_selective_stop_signal_mturk.stop_acc,1.0
motor_selective_stop_signal_mturk.stop_rt_error,-1.0
motor_selective_stop_signal_mturk.stop_rt_error_std,1.0
MPQCOTR,1.0
mpq_control_survey_mturk.control,1.0
PRSMSPRC,-1.0
PRSOVTAC,1.0
PRSPLB,1.0
PRSRVS,1.0
probabilistic_selection_mturk.missed_percent,-1.0
probabilistic_selection_mturk.overall_test_acc,1.0
probabilistic_selection_mturk.positive_learning_bias,1.0
probabilistic_selection_mturk.value_sensitivity,1.0
PRPSLOPE,1.0
PRPSLOW,1.0
PRPMSPRC,-1.0
PRPTAOAC,1.0
PRPTATAC,1.0
psychological_refractory_period_two_choices_mturk.PRP_slope,1.0
psychological_refractory_period_two_choices_mturk.PRP_slowing,1.0
psychological_refractory_period_two_choices_mturk.missed_percent,-1.0
psychological_refractory_period_two_choices_mturk.task1_acc,1.0
psychological_refractory_period_two_choices_mturk.task2_acc,1.0
