,adaptive_n_back.hddm_drift,adaptive_n_back.hddm_non_decision,adaptive_n_back.hddm_thresh,adaptive_n_back.mean_load,angling_risk_task_always_sunny.keep_adjusted_clicks,angling_risk_task_always_sunny.keep_loss_percent,angling_risk_task_always_sunny.keep_score,angling_risk_task_always_sunny.release_adjusted_clicks,angling_risk_task_always_sunny.release_loss_percent,angling_risk_task_always_sunny.release_score,attention_network_task.alerting_hddm_drift,attention_network_task.conflict_hddm_drift,attention_network_task.hddm_drift,attention_network_task.hddm_non_decision,attention_network_task.hddm_thresh,attention_network_task.orienting_hddm_drift,bickel_titrator.hyp_discount_rate_large,bickel_titrator.hyp_discount_rate_medium,bickel_titrator.hyp_discount_rate_small,choice_reaction_time.hddm_drift,choice_reaction_time.hddm_non_decision,choice_reaction_time.hddm_thresh,cognitive_reflection_survey.correct_proportion,cognitive_reflection_survey.intuitive_proportion,columbia_card_task_cold.avg_cards_chosen,columbia_card_task_cold.gain_sensitivity,columbia_card_task_cold.information_use,columbia_card_task_cold.loss_sensitivity,columbia_card_task_cold.probability_sensitivity,columbia_card_task_hot.avg_cards_chosen,columbia_card_task_hot.gain_sensitivity,columbia_card_task_hot.information_use,columbia_card_task_hot.loss_sensitivity,columbia_card_task_hot.probability_sensitivity,dietary_decision.health_sensitivity,dietary_decision.taste_sensitivity,digit_span.forward_span,digit_span.reverse_span,directed_forgetting.hddm_drift,directed_forgetting.hddm_non_decision,directed_forgetting.hddm_thresh,directed_forgetting.proactive_interference_hddm_drift,discount_titrate.percent_patient,dot_pattern_expectancy.AY-BY_hddm_drift,dot_pattern_expectancy.BX-BY_hddm_drift,dot_pattern_expectancy.bias,dot_pattern_expectancy.dprime,dot_pattern_expectancy.hddm_drift,dot_pattern_expectancy.hddm_non_decision,dot_pattern_expectancy.hddm_thresh,go_nogo.bias,go_nogo.dprime,hierarchical_rule.score,holt_laury_survey.safe_choices,information_sampling_task.Decreasing_Win_P_correct,information_sampling_task.Decreasing_Win_motivation,information_sampling_task.Fixed_Win_P_correct,information_sampling_task.Fixed_Win_motivation,keep_track.score,kirby.hyp_discount_rate_large,kirby.hyp_discount_rate_medium,kirby.hyp_discount_rate_small,local_global_letter.conflict_hddm_drift,local_global_letter.hddm_drift,local_global_letter.hddm_non_decision,local_global_letter.hddm_thresh,local_global_letter.switch_cost_hddm_drift,motor_selective_stop_signal.SSRT,motor_selective_stop_signal.hddm_drift,motor_selective_stop_signal.hddm_non_decision,motor_selective_stop_signal.hddm_thresh,motor_selective_stop_signal.reactive_control,motor_selective_stop_signal.selective_proactive_control,probabilistic_selection.positive_learning_bias,probabilistic_selection.value_sensitivity,psychological_refractory_period_two_choices.PRP_slope,ravens.score,recent_probes.hddm_drift,recent_probes.hddm_non_decision,recent_probes.hddm_thresh,recent_probes.proactive_interference_hddm_drift,shape_matching.hddm_drift,shape_matching.hddm_non_decision,shape_matching.hddm_thresh,shape_matching.stimulus_interference_hddm_drift,shift_task.acc,shift_task.learning_rate,simon.hddm_drift,simon.hddm_non_decision,simon.hddm_thresh,simon.simon_hddm_drift,simple_reaction_time.avg_rt,spatial_span.forward_span,spatial_span.reverse_span,stim_selective_stop_signal.SSRT,stim_selective_stop_signal.hddm_drift,stim_selective_stop_signal.hddm_non_decision,stim_selective_stop_signal.hddm_thresh,stop_signal.SSRT_high,stop_signal.SSRT_low,stop_signal.hddm_drift,stop_signal.hddm_non_decision,stop_signal.hddm_thresh,stop_signal.proactive_SSRT_speeding,stop_signal.proactive_slowing,stroop.hddm_drift,stroop.hddm_non_decision,stroop.hddm_thresh,stroop.stroop_hddm_drift,threebytwo.cue_switch_cost_hddm_drift_100.0,threebytwo.cue_switch_cost_hddm_drift_900.0,threebytwo.hddm_drift,threebytwo.hddm_non_decision,threebytwo.hddm_thresh,threebytwo.task_switch_cost_hddm_drift_100.0,threebytwo.task_switch_cost_hddm_drift_900.0,tower_of_london.avg_move_time,tower_of_london.num_extra_moves,tower_of_london.num_optimal_solutions,tower_of_london.planning_time,two_stage_decision.model_based,two_stage_decision.model_free,two_stage_decision.perseverance,writing_task.neutral_probability,writing_task.positive_probability
s083,1.3488950441,0.3764952547,1.2787629256,2.1,38.92,0.1666666667,921,17.3636363636,0.2666666667,364,0.0830514875,-2.8092068276,0.7015004885,0.26550505480000003,1.6295546207,-0.5526164148,0.0007403776000000001,0.0093823242,0.1390517578,4.6783699764,0.3086224133,1.4938176076,0.33333333330000003,0.6666666667000001,5.5416666667,-0.0041666667,1,0.00016666670000000001,-1.4583333333000001,9.7916666667,0.0167998318,1,-0.0010235492,-4.2989907485,0.0170030038,0.8913356179,7.1,5.9,2.5232179085,0.4747315342,1.9927710129,-0.2971169097,0.25,-1.0592138839,-1.1874516487,-0.4813557855,1.6949242847,1.1955948587,0.054027221900000005,2.1106985664,-1.1622509791,3.1338577672,185.0,7,0.8477905274,0.0009738966,1.0,0.0010411182,0.47222222220000004,0.009797959,0.0256124969,0.0256124969,-2.1895052731,1.3050836807000001,0.5075443046,1.669610664,0.08400074540000001,,,,,,,,,0.7204340251,6,1.1089395087,0.2411605092,2.1541997941,-0.4880171404,1.7127829655,0.16559019860000002,2.5121158046,-1.1833435602,0.4108910891,0.025627925000000003,3.23502748,0.3523319593,1.4689209609,-0.5639180939,380.0,5.8,5.3,317.8333333333,3.5270554322,0.38230450460000004,1.1202609399,305.1666666667,303.3333333333,1.7491965137,0.0817128795,2.299753152,-1.8333333333000001,2.0047333904,2.3746711767,0.4342375705,1.3345630303,-1.7417607705,,,,,,,,2605.4537037037,9,7,2905.3333333333,-0.0763538312,-0.6570867946000001,0.2057493201,0.2343559896,0.2767393032
s084,0.8589121951,0.2719903986,0.940987628,1.05,37.2777777778,0.4,630,31.15,0.33333333330000003,598,0.0203759723,-0.5095038277,3.4186933304,0.3987612735,1.8099363361,-0.9310418315000001,0.0033494841000000003,0.028026123000000003,0.0811591797,4.0640011278,0.2521574478,1.596072508,0.1666666667,0.6666666667000001,11.625,0.0291666667,1,-0.0041666667,-2.5416666667,18.0,0.0312599681,0,-0.0057812714,-1.5881749829,0.24672949360000002,0.6542091896000001,5.9,5.8,1.1843981179,0.2856139548,1.6517196104,-0.9217322329000001,0.0,,,,,,,,-1.0199797456,2.2552282759,104.0,9,0.6555591583,0.0019921078,0.8457717895,0.0021987495,0.3888888889,0.158113883,0.158113883,0.25,-2.9046246945,1.4733482183,0.3411696674,1.0247690868,-0.2591152524,,,,,,,0.8581946015,1.0256362521,0.5328206152,4,1.6550952593,0.40903839750000004,1.4264724935,-0.0433817782,2.7374870552,0.4108504163,1.4226970204,-2.5221409837,0.3558897243,0.0118844112,2.3898890071,0.2256918641,1.0380654198,-1.7509725414,270.5,5.6,4.4,344.0,2.7620628907,0.2507275671,1.2709129478,,,,,,,,2.1792855584,0.28956155310000004,1.7369837729,-1.5829725346,0.39375323360000003,0.1449289224,0.3369499734,0.2460247771,1.4526430972,-0.8791412776,-0.1349953944,3252.1458333333,15,5,3943.75,-0.1952612903,0.3581551854,0.0520278395,0.8112706842,0.5942283082
s085,1.3770712659,0.27965964400000004,1.2108190445,3.75,47.619047619,0.30000000000000004,971,39.0,0.4666666667,594,-0.4087209673,-0.9635052778000001,4.2929790214,0.35510524250000003,1.9714072042000002,-1.1219610453,0.0017226785,0.0111802063,0.1320664063,6.1267563444,0.3056579049,1.7162277810000002,0.6666666667000001,0.1666666667,10.2916666667,0.0125,2,-0.011166666700000001,-2.625,17.8333333333,-0.1415692821,1,-0.0041035058,-1.909015025,0.10027395730000001,1.1614670692,9.3,7.5,2.767133267,0.3815549968,1.7802117906000001,-0.9194612825,0.1111111111,-2.5591351511,-0.0077320513,0.0,5.3201349372,4.2786617621,0.1715792231,2.8978451477,-0.8075379761,4.3503317988,157.0,9,0.6433485508,0.0011979283000000001,0.6122137308000001,0.0013118011,0.6388888889000001,0.06403124240000001,0.06403124240000001,0.158113883,-0.49321786780000004,3.0645491755,0.38408040460000004,2.2801547907,-0.19184904700000002,254.5,3.3268465028,0.29193793500000004,2.5202581529,7.0,234.0,-3.7078404868,4.8462615516,0.3087063875,12,2.4954712766,0.4242374718,1.8092913073,-0.4376023049,3.6143307213,0.4263971963,1.7956891142,-2.2195405378,0.4,0.0475985258,4.1338186,0.2923828914,1.5265594506,-1.2587640028,349.5,6.5,6.7,273.8333333333,5.4097427747,0.2460839488,4.8780411124,235.1666666667,270.3333333333,4.0536714581,0.26187653110000003,3.6277460797,35.1666666667,75.0392857143,4.3445880414,0.49854588590000004,1.8588053226999999,-0.5365805446,0.0971246109,0.1794458102,2.0526886719,0.3258494121,1.6220714572000001,-0.7611000504000001,-0.7632709238000001,1738.3777777778,5,8,3663.9166666667,0.48299221140000004,0.2202542656,0.1820568061,0.3289153696,0.1420185338
s086,0.8054658461,0.1947171274,1.6150055657,1.3,20.7894736842,0.36666666670000003,356,18.0555555556,0.4,305,-0.6373437375000001,-0.4198177075,2.4835357169,0.40565709520000004,1.655536949,-0.0518216889,0.0013323203,0.001924118,0.0759648438,2.0979549512,0.3142659159,1.9639025216000001,0.33333333330000003,0.1666666667,15.7916666667,0.12916666670000002,2,-0.016166666700000002,-3.375,8.0833333333,-0.013522751500000001,1,-0.0017150182,-1.8549455245000002,0.3103200089,0.5942309822,7.2,7.5,1.4980742371,0.458350005,2.2664269173,-0.6938991634,0.2222222222,-3.1716486772,0.6424460209,-0.0782505426,3.2247421739,1.5627291695,0.1772817592,1.4258843848,-0.8893284577,4.1867508355,321.0,7,0.7515197754,0.0007976451000000001,0.9664916992,0.0015050874000000001,0.4444444444,0.009797959,0.009797959,0.06403124240000001,-0.27704975800000003,1.6135412608,0.3114902631,2.7662721434,-0.09110239120000001,,,,,,,,,0.5751925036000001,3,0.8518199662,0.2525817987,2.1861590851,-0.1534216246,1.7153236084999999,0.21988101270000002,2.0407173748,-0.8412599655,0.3975,0.022817095000000003,2.9688561794,0.3616162775,1.9262649679,-0.7057086951,319.5,6.0,5.5,255.8333333333,3.2904481984,0.4349212511,1.7390073514000002,247.3333333333,352.3333333333,2.227077676,0.31077161200000003,1.8154521021,105.0,-5.5032327586,2.0457929737,0.3763898458,2.7110216484,-0.8836267724,0.14809565460000002,0.3167903466,1.030466832,0.0759456136,2.1534093188,-0.3636547712,-0.4196902118,3250.2296296296,6,7,3168.6666666667,-0.550309904,-0.1116649796,-0.8821022752000001,0.334625789,0.2907726251
s089,1.2609968279000001,0.4197606318,1.7324684290999999,2.35,22.6086956522,0.2333333333,500,16.8,0.1666666667,411,-0.6185461806,-0.5860471345,3.7322150097,0.46325628150000003,2.0195653828,-1.1465341234,0.0039603884,0.0329987793,0.1882236328,2.6662956421,0.4041751985,1.7095042861,0.0,0.5,19.75,-0.075,0,-0.0126666667,-0.75,11.8333333333,-0.0090686275,1,-0.0013039216,-2.0441176471,-0.036500316500000005,0.3551630662,8.5,6.5,1.3709417957,0.47879568440000003,2.1906459009,0.044382014000000004,0.0,-1.4848297298,-0.5942776462,-0.5629734621,4.194188013,2.350284643,0.360639986,2.2034040687,-1.2083775268,3.5486526974,219.0,7,0.6394451141,0.0013401079,0.6581768990000001,0.0013052178,0.5,0.0256124969,0.025031633100000002,0.0256124969,-1.4882975871,1.8002117762,0.5407917115,1.6539862468000002,-0.6114513268,454.5,2.6743646369,0.4293715201,1.3282002531,4.0,-40.5,,,0.6359358781000001,11,1.4706727852,0.7703960842,1.8197744159,-0.6930546341,2.5267265854,0.5222753946,2.2143389233,-0.6776464787,0.3903061224,0.00023653900000000002,3.2164251541,0.3402123273,2.2561390006,-0.7109438634,449.5,5.0,4.7,473.0,3.6778255958,0.4284995451,1.5358704036000002,318.8333333333,346.0,2.3929695599,0.35943545450000003,1.6311181407,27.1666666667,40.6369604994,2.0115871535,0.43040763670000004,2.053642782,-1.0345117823,-1.0538644644,-0.13912099090000002,1.5377630332,0.46166297370000003,1.6433108955,0.0959786468,-0.643618707,2053.0066137566,15,7,4787.5833333333,-0.2627556714,-0.5506801636,-0.772701202,0.8542763256,0.3774259951
s091,1.2154831888,0.2407811169,1.0717589386,1.65,34.0909090909,0.2666666667,720,21.0526315789,0.36666666670000003,380,-0.2068111215,-1.3524828197,3.6667547987,0.3563879653,1.7196299800000001,-0.1672617476,0.0011686342,0.0015376320000000001,0.0329902344,5.906844648,0.2692688003,1.2173291278,0.8333333333,0.0,12.8333333333,0.0666666667,1,-0.0016666667,-1.0,17.25,-0.0523640662,2,-0.008761229300000001,-2.3096926714,0.0524459772,1.1841357133,7.6,6.5,3.0752898706,0.4071140427,2.0342294349,-0.09718054520000001,0.30555555560000003,-1.8199282788,2.0167799033,0.0,5.3201349372,4.7146796505,0.1500406879,2.6841096665,-0.8893284577,4.1867508355,222.0,9,0.805166626,0.0013351366,1.0,0.0020942294,0.6388888889000001,0.009797959,0.0256124969,0.0256124969,-3.132149138,0.9121429923000001,0.3280070766,1.289530945,-0.522288359,211.3333333333,4.7466753237,0.2509141574,2.0340494444,-0.5,65.5,3.5516423795,0.9660498864,0.5040214336000001,17,1.5939398040000001,0.4070428639,1.4983231662,-0.3404455388,3.0860129479,0.3604596544,1.2502396858,-1.6852842908999999,0.4373464373,0.0846926821,5.2858712952,0.25454728530000004,1.3092685642,-1.6254391444,265.5,4.9,5.3,274.3333333333,3.4240691095,0.3125454086,1.3997327189,225.0,222.3333333333,3.4181890209,0.3132121297,1.832552092,-2.6666666667000003,131.7209401709,3.7792260013,0.32052237510000003,2.820704285,-0.8168320346,-0.6790280669000001,-1.3852466815,1.8341250856,0.30688859150000003,1.3160299921,-0.1087911631,1.3098673153,1811.1645472583,17,8,2933.3333333333,-0.400701061,0.7863824096,-0.4184605067,0.4543755474,0.5359600138
s092,1.336426951,0.322694743,1.6737247976,2.9,50.9375,0.4666666667,765,32.1111111111,0.4,545,-0.2443721902,-1.5808949872,3.6303615034,0.40571809000000003,1.5774379249,0.1047113029,0.0005692798000000001,0.0033625107,0.026476562500000002,4.04976473,0.27241468620000003,1.5276546524999999,0.5,0.5,13.7916666667,0.0458333333,2,-0.0101666667,-3.2916666667,11.347826087,0.1345993117,2,-0.009134709900000001,-2.8046951819,-0.2870185816,1.205233717,6.4,4.8,2.6053013136,0.3958286522,2.0177791677,-0.6859683364,0.3888888889,-1.3206311859,2.4770142688,0.3298219498,4.6604910377,2.7719443294,0.28796902350000003,1.4233633356,-1.2083775268,3.5486526974,203.0,6,0.7333761692,0.001379564,0.9477935791000001,0.0025050339,0.6944444444,0.009797959,0.009797959,0.009797959,,,,,,247.0,3.3096587269,0.2878106992,1.5575178072,3.0,126.0,16.4774725675,-12.3481876025,0.6464459263,11,1.7290270873,0.41056413750000004,1.9073220923,-0.43598647100000004,2.8374879459,0.3679350236,1.4631568732,-1.2592573666,0.4250614251,0.050432751500000005,3.6835116756,0.3026929836,1.5460265916,-0.8741464811,355.0,6.5,6.3,256.1666666667,4.8820807223,0.3081811434,2.3753410162,238.1666666667,244.6666666667,3.2051521656,0.3046713949,1.5168134269,6.5,52.6483750127,1.9304106010000002,0.36234057480000004,1.6838295785000001,-1.3130664977,-0.1747880786,-0.5447174884,1.3839521256,0.3216415159,1.4952788786,-0.2456237649,0.5691942999999999,2106.6296296296,8,8,3805.8333333333,0.7400399729,0.1530451621,0.558771623,0.8312751778,0.47519145970000004
s093,1.3451403875999999,0.2538526238,1.714610819,2.25,24.4736842105,0.36666666670000003,450,30.0,0.4,510,-0.6535719167,-0.48655191400000003,3.0948304879,0.3985628188,2.3371260411,-0.8740500982,0.0022120888,0.0085203247,0.1342958984,2.9310043237,0.3011461096,1.4558350413,0.6666666667000001,0.1666666667,14.9583333333,-0.07083333330000001,1,-0.0165,-0.5416666667,12.5,0.5843174924,3,-0.019427300300000002,-7.5955510617,-0.0196251866,0.9373099674,8.3,7.6,2.0263195029,0.44538670080000003,1.9922014977,-0.6248688594,0.0277777778,-0.8664982877,-1.6260810115000002,-0.7692085921,2.0451113905,1.6866924097,0.1408932136,1.7075933568,-1.1227206548,3.2129184158,133.0,8,0.7454021454,0.0021894911,0.8454101562,0.0020420599,0.47222222220000004,0.0256124969,0.06403124240000001,0.1265219767,-1.4115976808,1.7528105541999999,0.3564040531,2.0136347718,-0.3128770469,,,,,,,,,0.3339035457,10,1.762558246,0.5297635077,1.6636733446,-0.6109293575,3.2811629321,0.40346146930000004,1.9223232441,-1.8567330454,0.4545454545,0.0520772046,3.5149739338,0.2909304594,1.5242450139,-0.3289406642,427.0,6.0,6.5,318.1666666667,4.7261775246,0.3556386154,2.1425219989,288.0,318.8333333333,4.233663465,0.3298442066,1.8367832068,30.8333333333,20.6928209624,3.2999809521,0.3922200274,1.805280836,-0.3243545621,-0.4499832099,0.12811004110000002,1.3112007716,0.2814181564,2.1709741629,-0.19599754060000002,-0.2613705045,1468.8083333333,4,9,4077.75,-0.49434262310000004,-0.0815853249,-0.9004671132000001,0.8475502033000001,0.2037607306
s094,0.9849790488000001,0.2861110233,1.5752835484,2.2,50.0,0.5,700,25.0,0.36666666670000003,450,-0.09784716210000001,-0.0368500931,3.4867766366,0.3304367972,1.5074188222,-1.5669823188,0.00034568310000000004,0.0007527542000000001,0.0018691406,6.1286686737,0.2106482322,1.9766759836,0.1666666667,0.6666666667000001,7.5,0.075,3,-0.0033333333,-1.5833333333000001,5.8333333333,0.2063700708,1,-0.0049787664,-1.1954499494,-0.3657381666,0.2402083656,7.7,6.4,2.5886729966,0.45932437670000004,1.5545868390000002,-0.1030770664,0.8333333333,-3.0842634736,0.7409258215000001,0.0,5.3201349372,4.497254204,0.2140720143,2.6619195313,-1.327315884,3.310775983,252.0,9,0.7495971680000001,0.0008340883000000001,1.0,0.0013659758,0.5555555556,0.0038729833,0.0038729833,0.0099597577,-0.5982097095000001,2.2891672119,0.4546756343,1.70602833,-0.7591344862,256.6666666667,3.2750116459,0.28260432220000004,1.2898362284,-18.0,72.0,19.4234451361,-10.0494443174,0.4671794118,11,1.9471916798,0.4315248379,2.0893007153,0.2076992937,4.1508393186,0.41011532370000003,1.4650673972,-1.6723845853000001,0.4039408867,0.022464449100000002,3.0195084916,0.2594285887,1.0245187702,-1.7236147888,253.5,6.6,6.2,233.5,3.5276989866,0.3362219537,1.1444808223,228.6666666667,224.1666666667,3.4899132496,0.29221218050000003,1.2544563837,-4.5,5.5678616832,3.1087874973,0.30648271,1.4941083125,-1.4484404237000001,-0.8470619097000001,-0.5125961104,1.7883904963,0.26629704590000003,1.8597518855000001,0.06475655500000001,0.0323841598,3505.9958333333,0,7,5659.8333333333,-0.1661712066,0.3886597647,-0.0637481437,0.2013845426,0.2686613974
s096,1.5315770818,0.23700344310000002,1.2423567705,2.3,44.7391304348,0.2333333333,978,21.6818181818,0.2666666667,452,-0.30823409020000003,-1.0799279927,3.9346846345,0.29513567830000004,2.2348058426,-1.5738739982999999,0.0005824718,0.001962204,0.012374999999999999,4.5886732987,0.24224359350000002,1.6965384021,1.0,0.0,8.2916666667,0.07083333330000001,3,-0.0055000000000000005,-1.4583333333000001,7.4583333333,0.0963095238,3,-0.0064809524,-1.6535714286,-0.14418976090000002,1.2489252884,9.4,8.4,2.911924812,0.4108672648,1.8214369855,-0.0845957093,0.8611111111,-0.8573335167,0.3576177231,0.4181320954,4.4838707464,2.3801149887,0.23226965330000002,1.3863695568,-0.8893284577,4.1867508355,310.0,7,0.7643220902000001,0.0016471514,0.8376403809,0.0021824425,0.5277777778,0.0015811388,0.0006324555,0.0015811388,-1.4203451254,2.0641399013,0.3848414891,1.966688471,-0.3199088887,301.8333333333,3.4438982133,0.24600810520000002,2.413750292,-10.0,41.0,-1.3219880204,10.02529874,0.4748262623,12,2.0634571621,0.4891454148,1.4431033887,-0.25618286100000004,3.2197063821,0.4331990432,1.5377275972,-2.3376652857,0.5995085995,0.128387999,3.0241819512,0.2716510764,1.3089731231,-0.5896970861,320.0,5.1,6.9,234.3333333333,3.4602856538,0.2957147698,2.431327607,267.1666666667,226.8333333333,4.3286258062,0.3493752758,2.7294997472,-40.3333333333,-4.6543180857,2.7688478599,0.3910361208,2.2002608687,-1.0183070826,-0.7829866472,-0.4082689378,2.1001460805,0.2901507897,1.8515443784,0.5678877297,0.4738233127,1787.7424242424,8,8,2553.5,-0.5391005338,-0.2516844035,-0.5666836245,0.1413967971,0.16546289490000002
s097,0.8770730006,0.15201604500000002,1.5632280711000002,1.75,17.5454545455,0.2666666667,380,11.0454545455,0.2666666667,233,-0.5217968638,-0.9166625293,3.2896108322,0.3958180555,1.9766001151,-0.6543099244,0.0018367681000000002,0.0287686768,0.14846972660000002,4.3346869247,0.3302775458,1.2107915714,0.1666666667,0.33333333330000003,19.1666666667,-0.058333333300000005,1,0.0013333333,-4.3333333333,28.5,-0.0144025934,1,6.85397e-05,-1.0280950911,0.32732359920000004,0.570708568,8.2,6.3,2.6151673673999998,0.5553885421,2.3359329486,-0.0487772364,0.0,-0.6119524390000001,0.37610427360000004,0.0,5.3201349372,3.5935257555,0.2053053676,3.2725125802,-0.8075379761,4.3503317988,218.0,6,0.8579833984,0.0012796054,0.984375,0.0015701081,0.5,0.25,0.1265219767,0.158113883,-1.5139778725,1.5253233809,0.3954171736,1.8046021905,-0.3341975978,415.6666666667,2.2012512528,0.3412218581,1.2289268201,18.5,50.5,13.946506843,-11.8767129785,0.4999681459,12,1.9213043780999999,0.553693619,1.6582892087,-0.3852875679,2.5660927647,0.5122374027000001,1.9232169354000002,-1.7930378709,0.4093137255,0.030386359300000002,3.4150327327,0.30276811940000004,1.7348120206000002,-0.9096754253,321.0,5.4,4.6,284.1666666667,3.8723816794,0.3300488586,1.7371086773000002,280.3333333333,261.1666666667,3.5689903371,0.3328344217,1.908339564,-19.1666666667,23.2102272727,3.8956092042,0.3130357679,3.1507520787,-1.0483233214,0.35494368190000003,-0.0092178534,2.3504038522,0.358301894,1.6428281076,-0.293023405,-0.1457651334,1917.0520833333,17,7,2511.4166666667,0.3351512907,0.0116028512,0.8555418618,0.1848131277,0.5151528476
s098,1.1543890301,0.2043616095,1.7001335873999999,2.4,52.6315789474,0.36666666670000003,966,22.8333333333,0.4,378,-0.0952766512,-0.8281104536,3.2393248761,0.353873572,1.9526590503,-1.5064060747,0.0001049916,0.0006257801000000001,0.0049609375,3.3324658996,0.3205625714,1.5874522215,0.6666666667000001,0.0,14.875,0.1708333333,1,-0.0055000000000000005,-2.2916666667,12.5,0.23900709220000002,1,-0.0048699764,-1.1991725768000001,-0.1610379224,0.9252034453,7.8,7.6,0.7283918301000001,0.1457207024,2.1795332555,-0.5746040629,0.3888888889,-0.7106197977,0.1001922742,0.1910395678,4.9380558016,2.6351480194,0.1515929519,3.2405129481,-0.9457732772,1.8199132911,145.0,8,0.7632787704,0.0011140227000000001,0.8879852295,0.0013438489,0.6388888889000001,0.0006324555,0.0015811388,0.0038729833,-0.875075657,1.3850962966,0.4270040091,2.0251790835,-0.5288805539,,,,,,,,,0.6544873017,6,1.290853245,0.5203617069,1.9733503302000002,0.0515306315,2.8464599415,0.37380794770000003,2.0818358249,-1.7432183536,0.4314214464,0.0747185696,2.5004992484,0.3165527266,1.6535602998,-0.24196993960000002,352.5,6.0,5.7,296.6666666667,2.8254613813000002,0.356431524,1.3548642875999999,393.1666666667,430.0,0.9937363381000001,0.2329466892,1.560525798,36.8333333333,82.6129860602,2.0587167199,0.3081499319,2.3441655182,-0.37243362900000004,-0.2623029518,-0.2139549603,1.008593241,0.0204320619,2.2599974218,-0.1731876718,-0.1436469777,2747.5,0,8,5536.3333333333,,,,0.35941737970000004,0.3479613939
s099,1.0320274166,0.2447304684,1.1385738175,1.65,8.6428571429,0.0666666667,236,5.8620689655,0.033333333300000004,165,-0.1525600392,-1.8943604823,2.771115741,0.36173852160000003,1.2137110354,-0.2045102888,0.0010417030000000002,0.0033634033,0.19409570310000002,2.9155727298,0.2527216901,1.2025058913,0.5,0.33333333330000003,6.375,0.0041666667,2,-0.0038333333,-1.9583333333000001,6.3333333333,0.0079987387,2,-0.0055122977,-2.7064326255999998,0.6206907388,0.3151220892,7.6,5.9,2.1007948381,0.4518305946,1.6521341612,-0.2992541949,0.0,-1.3221262922,-0.9512722662,-0.5629734621,4.194188013,2.4088094307,0.1304978276,2.5346739718,-1.4013457528,3.1627162453,126.0,5,0.8103168488,0.0013731656,0.8968307495000001,0.0024342351,0.6944444444,0.0038729833,0.0099597577,0.0039735241000000004,-0.7049022178000001,1.3312798459000001,0.2846685644,1.6366675889,-0.4581472003,333.6666666667,2.4164185254,0.33313776700000003,1.3173045539000001,0.0,110.0,-12.3689138902,14.9091095617,0.2027971735,7,1.7829380273000002,0.4252217394,1.9777859372000002,-0.3260965664,2.8882153236,0.3404073348,1.9071675908999999,-1.5768145429,0.5925925926,0.0594648256,2.7714891963,0.23342705,1.2159856915,-1.1919973021999999,267.5,6.0,5.1,254.6666666667,2.1531848761,0.22893526990000002,1.7789859196000002,250.5,228.8333333333,2.7291302694,0.2931836872,1.5641892481,-21.6666666667,18.5514380531,2.2233124066,0.2733184305,1.7105960674,-0.7873575557,-0.1876502253,0.48320684070000003,1.3018281097,0.2629025644,1.4632713988,-0.65438476,-0.9870101056,1486.3636363636,26,7,2040.4166666667,,,,0.8581592075000001,0.39004512680000003
s102,1.0931520389,0.22539093710000002,1.1978531089,1.6,41.1764705882,0.4333333333,650,34.1176470588,0.4333333333,550,-0.6317858336000001,-1.1702918163,2.1482571062,0.3096916536,1.590247814,-0.8262193046,0.0261929579,0.0079602356,0.7880820313,2.9831004344,0.2371459745,1.6881762826000002,0.6666666667000001,0.1666666667,12.0,-0.075,0,0.0003333333,-0.33333333330000003,27.9130434783,-0.004545454500000001,0,-0.0055566188,-0.6184210526,0.0908712097,0.6657958844,6.7,4.8,1.3678851953,0.41783891360000003,1.8039602709,-0.40177024,0.0833333333,-1.5460586171,-0.3115278319,-0.3539369881,2.9294172095,1.9888864903,0.019032015000000003,1.9749769497,-0.9227923031,2.060853391,108.0,7,0.6904129505000001,0.0016462818000000001,0.6801437378,0.0017187646,0.75,0.25,0.06403124240000001,0.06403124240000001,-1.3807593487,1.4939407681999999,0.39456047050000004,1.5784335996,-0.49757624100000003,470.1666666667,2.3943735395,0.2905512863,1.191958106,23.0,62.5,,,0.5566739089,13,0.3990645432,0.4708734271,1.5125630334,-0.4902390245,2.1665760055,0.3846165273,1.7748883238,-0.71968054,0.48883374690000003,0.0718888273,1.9366986053000002,0.2984281361,1.5862364594,-0.590921479,380.0,5.7,6.1,382.8333333333,2.0221642117,0.3048226264,1.3313276273,302.1666666667,271.1666666667,2.8302822791,0.1964496885,2.1551543982,-31.0,-18.3728103197,1.9519842622999999,0.2793052601,1.5926823765,0.0178811084,-0.5059126194,-0.6598368492000001,0.7676190765,0.2829631298,1.4291814148,0.0307265527,0.2665857057,1783.5988095238,20,6,2221.0833333333,,,,0.8315301179,0.6093769210000001
