,1.0
DPEAXZN,-0.93
DPEAYZN,-0.89
DPEBXZN,-0.91
DPEBYZN,-0.93
DPEAXZT,1.0
DPEAYZT,1.0
DPEBXZT,1.0
DPEBYZT,1.0
DPEAC,1.0
DPEAVRT,-0.93
DPEAVRTE,1.0
DPEDPRIM,1.0
DPEMSPRC,-0.93
DPEPES,1.0
DPEDRT,1.0
DPEDRTE,1.0
TFEQCGRS,1.0
TFEQEEAT,-1.0
TFEQUEAT,-1.0
ERQREAP,1.0
ERQSUPP,1.0
FFMQAWAR,1.0
FFMQDESC,1.0
FFMQNJUD,1.0
FFMQNREA,1.0
FFMQOBSV,1.0
FTPSFTP,1.0
GNGAC,1.0
GNGDRPIM,1.0
GNGGAC,1.0
GNGGRT,1.0
GNGNOGAC,1.0
GRTSGRIT,1.0
HIRAC,1.0
HIRAVRT,-1.0
HIRAVRTE,1.0
HIRMSPRC,-1.0
HIRPES,1.0
HIRSCOR,1.0
HIRDRT,1.0
HIRDRTE,1.0
HLTNOS,1.0
HLTRSKCH,1.0
HLTSFCH,1.0
IMVIMPLS,-1.0
IMVVNTUR,1.0
ISTDECPC,1.0
ISTDECAC,1.0
ISTDECOP,1.0
ISTDECMV,1.0
ISTDECTP,1.0
ISTFXDPC,1.0
ISTFXDAC,1.0
ISTFXDOP,1.0
ISTFXDMV,1.0
ISTFXDTP,1.0
KTTSCOR,1.0
KRBHDR,-1.0
KRBHDRL,-1.0
KRBHDRM,-1.0
KRBHDRS,-1.0
KRBPCTP,1.0
KRBPCTPL,1.0
KRBPCTPM,1.0
KRBPCTPS,1.0
KRBWARN,1.0
LCATACTL,1.0
LOGZDCG,1.0
LOGZDINC,1.0
LOGZDNEU,1.0
LOGZDSTY,1.0
LOGZDSWT,1.0
LOGZNCG,-1.0
LOGZNINC,-1.0
LOGZNNEU,-1.0
LOGZNSTY,-1.0
LOGZNSWT,-1.0
LOGZTCG,1.0
LOGZTINC,1.0
LOGZTNEU,1.0
LOGZTSTY,1.0
LOGZTSWT,1.0
LOGAC,1.0
LOGAVRT,-1.0
LOGAVRTE,1.0
LOGCONZD,1.0
LOGCONZN,1.0
LOGCONZT,1.0
LOGCONAC,1.0
LOGCONRT,-1.0
LOGCGSAC,1.0
LOGCGSRT,1.0
LOGCFCAC,1.0
LOGCFCRT,-1.0
LOGICHAC,1.0
LOGICHRT,-1.0
LOGMSPRC,-1.0
LOGPES,1.0
LOGDRT,1.0
LOGDRTE,1.0
LOGSWCZD,1.0
LOGSWCZN,1.0
LOGSWCZT,1.0
LOGSWCAC,1.0
LOGSWCRT,-1.0
MAASMIND,1.0
MOSZD,1.0
MOSZN,-0.58
MOSZT,1.0
MOSSSRT,-0.58
MOSSSDLY,1.0
MOSGAC,1.0
MOSGRT,-0.58
MOSGRTE,-0.58
MOSGDRT,1.0
MOSGDRTE,1.0
MOSREC,-0.58
MOSSPC,1.0
MOSPAC,1.0
MOSPRT,-0.58
MOSPDRTE,1.0
MPQCOTR,1.0
PRSMSPRC,-0.34
PRSNEGAC,1.0
PRSOVTAC,1.0
PRSPOSAC,1.0
PRSPLB,1.0
PRSRPLB,1.0
PRSRVS,1.0
PRPSLOPE,1.0
PRPSLOW,1.0
PRPMSPRC,-1.0
PRPTAOAC,1.0
PRPTATAC,1.0
RPMSCOR,1.0
REPRNGZD,1.0
REPRPSZD,1.0
REPXZD,1.0
REPXNGZD,1.0
REPXPSZD,1.0
REPRNGZN,-1.0
REPRPSZN,-0.98
REPXZN,-1.0
REPXNGZN,-1.0
REPXPSZN,-0.96
REPRNGZT,1.0
REPRPSZT,1.0
REPXZT,1.0
REPXNGZT,1.0
REPXPSZT,1.0
REPAC,1.0
REPAVRT,-1.0
REPAVRTE,1.0
REPMSPRC,-1.0
REPPES,1.0
REPPINZD,1.0
REPPINZN,1.0
REPPINZT,1.0
REPPINAC,1.0
REPPINRT,-1.0
REPDRT,1.0
REPDRTE,1.0
SOCSCOM,1.0
SOCSELSE,1.0
selection_optimization_compensation_survey.loss_based_selection,1.0
SOCSOPT,1.0
SSRQCOTR,1.0
SSSBORED,1.0
SSSDISIN,1.0
SSSEXPSK,1.0
sensation_seeking_survey.sensation_seeking,-1.0
SSSTHRIL,1.0
shape_matching.EZ_drift_DDD,1.0
shape_matching.EZ_drift_DDS,1.0
shape_matching.EZ_drift_DNN,1.0
shape_matching.EZ_drift_DSD,1.0
shape_matching.EZ_drift_SDD,1.0
shape_matching.EZ_drift_SNN,1.0
shape_matching.EZ_drift_SSS,1.0
shape_matching.EZ_non_decision_DDD,-0.98
shape_matching.EZ_non_decision_DDS,-0.98
shape_matching.EZ_non_decision_DNN,-0.98
shape_matching.EZ_non_decision_DSD,-0.98
shape_matching.EZ_non_decision_SDD,-0.98
shape_matching.EZ_non_decision_SNN,-0.98
shape_matching.EZ_non_decision_SSS,-0.98
shape_matching.EZ_thresh_DDD,1.0
shape_matching.EZ_thresh_DDS,1.0
shape_matching.EZ_thresh_DNN,1.0
shape_matching.EZ_thresh_DSD,1.0
shape_matching.EZ_thresh_SDD,1.0
shape_matching.EZ_thresh_SNN,1.0
shape_matching.EZ_thresh_SSS,1.0
shape_matching.acc,1.0
shape_matching.avg_rt,-0.98
shape_matching.avg_rt_error,1.0
shape_matching.missed_percent,-0.98
shape_matching.post_error_slowing,1.0
shape_matching.std_rt,1.0
shape_matching.std_rt_error,1.0
shape_matching.stimulus_interference_EZ_drift,1.0
shape_matching.stimulus_interference_EZ_non_decision,1.0
shape_matching.stimulus_interference_EZ_thresh,1.0
shape_matching.stimulus_interference_rt,-0.98
SHFTAC,1.0
SHFTAVRT,-0.98
SHFTAC,1.0
SHFTMSPR,-0.98
SHFTPES,1.0
SHFTDRT,1.0
SIMCGZD,1.0
SIMINCZD,1.0
SIMCGZN,-1.0
SIMINCZN,-1.0
SIMCGZT,1.0
SIMINCZT,1.0
SIMAC,1.0
SIMAVRT,-1.0
SIMAVRTE,1.0
SIMCGSAC,1.0
SIMCGSRT,1.0
SIMMSPRC,-1.0
SIMPES,1.0
SIMSIMZD,1.0
SIMSIMZN,1.0
SIMSIMZT,1.0
SIMSIMAC,1.0
SIMSIMRT,-1.0
SIMDRT,1.0
SIMDRTE,1.0
SRTMSPRC,-1.0
simple_reaction_time.simple_rt,1.0
SRTDRT,1.0
SPSFORWD,1.0
SPSREVRS,1.0
STSZD,1.0
STSZN,-0.75
STSZT,1.0
STSSSRT,-0.75
STSSSDLY,1.0
STSGAC,1.0
STSGRT,-0.75
STSGRTE,-0.75
STSGDRT,1.0
STSGDRTE,1.0
STSPAC,1.0
STSPRT,-0.75
STSPDRTE,1.0
SSZD,1.0
SSZN,-0.87
SSZT,1.0
SSSSRT,-0.87
SSSSRTHI,-0.87
SSSSRTLO,-0.87
SSSSSDLY,1.0
SSGAC,1.0
SSGRT,-0.87
SSGRTE,-0.87
SSGDRT,1.0
SSGDRTE,1.0
SSPASS,1.0
SSPAS,1.0
SSPAC,1.0
SSPRTE,-0.87
SSPDRTE,1.0
STRCGZD,1.0
STRINCZD,1.0
STRCGZN,-1.0
STRINCZN,-1.0
STRCGZT,1.0
STRINCZT,1.0
STRAC,1.0
STRAVRT,-1.0
STRAVRTE,1.0
STRCGSAC,1.0
STRCGS,1.0
STRMSPRC,-1.0
STRPES,1.0
STRDRT,1.0
STRDRTE,1.0
STRSTRZD,1.0
STRSTRZN,1.0
STRSTRZT,1.0
STRSTRAC,1.0
STRSTRRT,-1.0
TIPIAGRE,1.0
TIPICONS,1.0
TIPIEMST,1.0
TIPIEXTR,1.0
TIPIOPEN,1.0
TXTCSTZD,1.0
TXTCSWZD,1.0
TXTTSTZD,1.0
TXTTSWZD,1.0
TXTCSTZN,-1.0
TXTCSWZN,-1.0
TXTTSTZN,-1.0
TXTTSWZN,-1.0
TXTCSTZT,1.0
TXTCSWZT,1.0
TXTTSTZT,1.0
TXTTSWZT,1.0
TXTAC,1.0
TXTAVRT,-1.0
TXTAVRTE,1.0
TXTCSCZD,1.0
TXTCSCZN,1.0
TXTCSCZT,1.0
TXTCSCRT,-1.0
TXTMSPRC,-1.0
TXTPES,1.0
TXTDRT,1.0
TXTDRTE,1.0
TXTTAIOR,-1.0
TXTTSCZD,1.0
TXTTSCZN,1.0
TXTTSCZT,1.0
TXTTSCRT,-1.0
ZTPIFUTR,1.0
time_perspective_survey.future_time_perspective,1.0
ZTPIPNEG,1.0
ZTPIPPOS,1.0
ZTPIPRFA,1.0
ZTPIPRHE,1.0
TOLAVGMT,1.0
TOLNUMRT,1.0
TOLOPTSL,1.0
TOLPLNTM,1.0
TOLTOTMV,1.0
TSTAVRT,-0.68
TSTMSPRC,-0.68
TSTMODBA,1.0
TSTMODFR,1.0
upps_impulsivity_survey.lack_of__premeditation,-1.0
UPPLPERS,-1.0
UPPNEGUR,-1.0
UPPPOSUR,-1.0
UPPSENSE,-1.0
WRTNEUPR,1.0
WRTPOSPR,1.0
WRTSENTL,1.0
